controller;round;mobility;battery;memory_avaliable;signal_strentch;processing
controller 16;1;98;95;89;19.933403;100
controller 50;29;100;74;100;30.862257;90
controller 16;55;95;84;60;31.974604;100
controller 42;63;89;91;79;31.974604;100
controller 35;69;88;69;81;31.974604;75
controller 3;72;95;93;51;31.974604;60
controller 89;77;100;89;78;31.974604;0
controller 29;81;93;63;97;24.705393;90
controller 16;89;92;80;58;12.655386;100
controller 50;98;100;66;82;31.974604;90
controller 31;98;97;90;47;3.713926;90
controller 50;138;100;61;53;31.974604;90
controller 2;145;100;66;52;31.974604;100
controller 76;149;100;86;86;31.974604;60
controller 50;164;95;55;57;31.974604;90
controller 89;248;95;84;66;14.381345;0
controller 21;261;99;45;81;21.488693;60
controller 50;268;90;38;99;13.997778;90
controller 30;271;95;58;81;31.974604;90
controller 62;274;100;55;85;31.974604;90
controller 99;281;98;57;89;9.394506;75
controller 2;284;92;61;51;14.495642;100
controller 34;289;92;73;33;31.974604;90
controller 47;293;94;65;79;7.396174;50
controller 85;300;100;38;84;19.108166;60
controller 90;303;97;58;79;12.593687;100
controller 50;323;100;36;94;20.137865;90
controller 89;355;97;79;83;19.443487;0
controller 37;397;94;60;99;22.419504;60
controller 50;401;100;28;89;31.974604;90
controller 35;417;95;36;83;31.974604;75
controller 89;421;94;73;83;31.974604;0
controller 90;459;96;47;85;33.13129;100
controller 50;486;94;18;98;33.875813;90
controller 49;511;99;12;82;31.974604;90
controller 35;517;98;28;83;31.974604;75
controller 90;530;100;43;71;25.475351;100
controller 35;549;94;26;86;12.755031;75
controller 76;559;98;70;81;31.974604;60
controller 50;569;93;13;96;29.96909;90
controller 47;575;91;45;86;29.581583;50
controller 90;582;98;40;96;13.992739;100
controller 34;620;98;54;45;15.016111;90
controller 90;648;94;36;68;13.0002775;100
controller 35;658;99;19;73;38.422344;75
controller 34;663;97;49;20;13.126796;90
controller 2;666;100;49;25;31.974604;100
controller 47;680;84;35;91;1.3251688;50
controller 32;699;99;25;95;18.69647;75
controller 90;703;97;31;83;6.705657;100
controller 37;706;98;53;93;31.974604;60
controller 90;736;97;28;81;31.974604;100
controller 76;760;100;55;80;36.894897;60
controller 90;806;100;21;83;31.974604;100
controller 34;815;98;42;40;31.974604;90
controller 76;825;100;50;90;20.990112;60
controller 2;864;99;35;23;31.974604;100
controller 47;871;93;12;80;31.974604;50
controller 34;890;99;40;1;13.618771;90
controller 2;895;89;33;49;4.200977;100
controller 34;897;95;39;6;12.74195;90
