controller;battery;memory_avaliable;total_memory_avaliable
controller 91;78;59;1208
controller 91;78;60;1229
controller 91;78;59;1208
controller 91;78;59;1208
controller 91;78;63;1290
controller 91;78;67;1372
controller 16;99;68;696
controller 16;99;62;635
controller 16;99;62;635
controller 85;92;83;850
controller 85;92;82;840
controller 85;92;82;840
controller 85;92;82;840
controller 85;92;82;840
controller 85;92;82;840
controller 85;92;82;840
controller 85;92;82;840
controller 85;92;82;840
controller 85;92;82;840
controller 85;92;83;850
controller 85;92;83;850
controller 85;92;82;840
controller 85;92;82;840
controller 85;92;84;860
controller 85;92;84;860
controller 85;92;84;860
controller 85;92;79;809
controller 85;92;80;819
controller 85;92;80;819
controller 85;92;80;819
controller 85;92;83;850
controller 85;92;83;850
controller 85;92;88;901
controller 85;92;88;901
controller 85;92;88;901
controller 85;92;79;809
controller 85;92;84;860
controller 85;92;84;860
controller 85;92;88;901
controller 85;92;88;901
controller 85;92;88;901
controller 85;92;88;901
controller 85;92;88;901
controller 85;92;96;983
controller 85;92;95;973
controller 85;92;95;973
controller 85;92;90;922
controller 85;92;90;922
controller 85;92;90;922
controller 94;92;75;768
