node 1;node 2;node 3;node 4;node 5
686;1024;58;440;2007
737;1024;58;440;2007
737;973;58;440;2007
696;973;58;430;2007
707;942;58;430;2007
707;942;58;430;2007
686;963;60;440;2007
686;952;60;461;2007
686;993;60;461;2007
686;973;61;461;2007
686;932;61;440;1987
676;932;61;440;1987
614;942;58;451;1925
614;901;55;435;1925
614;901;55;435;1925
614;860;55;435;1925
584;860;55;415;1925
573;850;61;415;1864
532;870;56;425;1823
553;870;56;425;1659
512;901;60;425;1597
512;901;60;389;1597
512;901;60;389;1556
512;850;60;389;1597
471;850;56;389;1556
471;840;56;389;1659
492;809;56;389;1720
492;799;59;420;1720
348;819;59;420;1720
348;819;59;420;1720
348;870;59;420;1802
348;870;49;369;1802
348;850;49;374;1802
348;799;49;374;1802
348;819;49;374;1720
348;778;49;374;1638
410;778;49;420;1638
440;778;49;420;1638
440;737;49;389;1700
492;737;50;410;1679
492;758;50;410;1618
614;696;50;410;1577
614;635;47;415;1577
614;645;44;415;1372
502;614;44;379;1372
481;614;45;379;1434
451;625;41;379;1536
451;625;40;379;1536
348;655;40;384;1536
348;655;40;379;1536
348;655;40;389;1454
338;655;40;404;1454
338;645;40;404;1454
338;645;40;404;1536
338;645;47;404;1536
338;655;42;420;1536
297;553;42;420;1536
297;553;41;384;1536
307;553;41;404;1536
307;635;38;404;1659
307;686;44;404;1700
338;686;47;404;1720
348;696;50;404;1679
287;696;46;420;1679
307;696;46;420;1679
358;645;46;420;1679
369;645;54;410;1700
369;645;59;415;1700
358;645;67;415;1577
358;645;67;425;1638
399;727;67;425;1638
399;737;69;425;1638
399;737;69;425;1638
399;768;83;430;1638
410;768;83;415;1638
410;809;90;389;1638
471;809;90;384;1638
471;809;86;384;1679
471;778;86;384;1679
532;778;69;399;1679
532;543;67;389;1618
532;604;67;389;1618
481;604;67;389;1556
481;686;67;389;1516
481;604;67;399;1495
471;604;67;399;1720
471;604;67;456;1782
471;604;72;456;1720
471;604;72;394;1720
471;604;72;410;1741
358;604;65;410;1720
358;604;58;410;1679
358;614;58;410;1679
358;614;58;410;1679
358;614;59;425;1638
399;614;59;425;1618
399;655;54;435;1618
399;655;54;435;1618
420;655;54;435;1618
410;655;54;435;1618
410;655;51;420;1618
389;655;56;476;1659
389;655;74;456;1638
389;666;74;456;1638
389;686;74;440;1638
481;686;74;440;1679
481;686;81;440;1679
481;707;81;440;1700
481;707;79;440;1700
584;707;87;440;1700
584;707;88;440;1720
584;758;88;445;1720
614;727;88;445;1720
614;727;88;430;1700
614;737;83;404;1700
645;737;83;415;1618
645;737;83;410;1618
758;737;99;420;1618
788;737;99;420;1618
840;727;78;420;1618
840;748;77;364;1618
840;748;73;364;1577
840;666;73;364;1925
819;676;73;364;1925
829;686;73;369;1864
768;625;73;369;1864
768;625;54;374;1864
768;635;54;374;1802
768;635;54;374;1802
707;891;54;389;1802
696;901;52;394;1802
655;901;52;394;1823
655;870;49;399;1761
655;870;56;404;1741
676;870;56;404;1741
676;901;56;471;1741
686;881;56;435;1741
686;850;56;435;1741
686;850;56;374;1741
686;850;56;384;1741
686;860;56;384;1782
686;860;51;384;1782
625;881;51;384;1802
625;952;52;379;1761
604;952;54;379;1741
655;952;54;384;1741
655;901;54;384;1741
655;901;54;410;1679
655;901;50;430;1638
666;891;50;404;1638
625;901;50;404;1720
625;901;47;404;1659
625;891;47;410;1700
676;870;47;410;1679
666;860;47;476;1782
666;860;51;476;1782
737;860;51;476;1761
737;860;54;471;1720
819;860;54;420;1720
819;860;54;420;1700
819;860;54;420;1700
819;850;54;415;1700
1014;881;56;425;1700
1014;870;60;425;1536
1014;850;60;425;1618
1014;850;58;415;1618
983;850;58;415;1618
1024;911;58;486;1618
1024;911;54;486;1618
911;901;55;466;1618
881;901;56;466;1618
911;901;79;476;1618
911;901;79;476;1618
829;901;79;461;1556
829;901;78;461;1618
819;901;77;435;1597
819;901;74;410;1659
819;881;74;404;1659
819;881;78;404;1659
819;881;78;404;1659
819;881;79;435;1679
819;891;76;440;1679
819;891;76;425;1679
901;891;82;425;1700
901;870;83;420;1700
901;881;83;420;1597
891;870;83;420;1597
911;840;61;420;1597
911;840;61;440;1597
901;809;61;420;1597
901;809;65;420;1597
891;809;65;420;1700
881;809;68;420;1659
881;891;60;399;1659
881;881;60;399;1638
881;881;60;410;1638
870;881;64;410;1638
891;901;64;410;1638
922;901;61;445;1679
922;901;61;435;1536
922;901;73;425;1536
922;922;73;425;1536
922;942;67;425;1556
901;881;67;415;1618
901;881;67;394;1761
891;881;67;399;1761
748;881;67;399;1761
696;881;59;399;1700
696;891;60;399;1700
696;891;60;399;1700
645;891;65;399;1720
635;952;65;399;1720
625;952;65;389;1761
625;983;65;394;1823
625;973;67;394;1823
635;973;67;389;1802
666;973;67;389;1802
563;973;67;389;1802
451;973;61;389;1802
451;973;60;410;1700
440;983;60;410;1700
399;983;59;435;1638
430;983;63;425;1700
492;1014;63;410;1720
492;1014;63;384;1720
492;963;61;384;1761
492;963;61;358;1823
492;952;63;358;1597
532;952;63;358;1720
543;952;63;379;1659
512;952;63;379;1659
512;932;63;415;1823
512;922;64;415;1802
512;952;64;389;1802
420;1024;64;389;1802
410;1024;64;389;1761
410;1024;67;389;1659
512;973;73;374;1536
512;973;73;374;1536
512;973;73;379;1536
532;973;72;379;1536
532;973;87;379;1536
532;973;76;399;1536
532;973;76;415;1597
532;881;76;415;1597
594;963;76;415;1659
594;963;76;415;1556
594;952;76;415;1556
594;1004;77;415;1597
594;1004;87;389;1597
594;1004;87;384;1597
594;1004;92;384;1597
594;1004;92;384;1597
553;993;111;384;1597
553;993;113;399;1597
553;993;109;399;1597
573;993;109;415;1679
553;911;114;415;1679
553;911;123;317;1393
481;911;123;317;1393
481;911;123;297;1393
410;911;124;312;1393
410;911;123;317;1393
