node 1;node 2;node 3;node 4;node 5
89;91;89;78;90
89;91;89;78;90
89;91;89;78;90
89;91;89;78;90
89;91;89;78;90
91;92;90;87;97
91;92;90;87;97
91;92;90;87;97
91;92;90;87;97
91;92;90;87;97
92;92;99;96;92
92;92;99;96;92
92;92;99;96;92
92;92;99;96;92
92;92;99;96;92
92;96;85;100;99
92;96;85;100;99
92;96;85;100;99
92;96;85;100;99
92;96;85;100;99
95;96;90;87;90
95;96;90;87;90
95;96;90;87;90
95;96;90;87;90
95;96;90;87;90
99;89;86;100;83
99;89;86;100;83
99;89;86;100;83
99;89;86;100;83
99;89;86;100;83
99;93;89;87;78
99;93;89;87;78
99;93;89;87;78
99;93;89;87;78
99;93;89;87;78
100;89;86;98;91
100;89;86;98;91
100;89;86;98;91
100;89;86;98;91
100;89;86;98;91
94;96;74;74;92
94;96;74;74;92
94;96;74;74;92
94;96;74;74;92
94;96;74;74;92
97;76;67;82;79
97;76;67;82;79
97;76;67;82;79
97;76;67;82;79
97;76;67;82;79
97;97;63;61;78
97;97;63;61;78
97;97;63;61;78
97;97;63;61;78
97;97;63;61;78
95;78;76;99;70
95;78;76;99;70
95;78;76;99;70
95;78;76;99;70
95;78;76;99;70
96;87;63;67;93
96;87;63;67;93
96;87;63;67;93
96;87;63;67;93
96;87;63;67;93
97;92;74;98;70
97;92;74;98;70
97;92;74;98;70
97;92;74;98;70
97;92;74;98;70
90;97;65;69;81
90;97;65;69;81
90;97;65;69;81
90;97;65;69;81
90;97;65;69;81
100;95;65;98;74
100;95;65;98;74
100;95;65;98;74
100;95;65;98;74
100;95;65;98;74
97;98;65;82;94
97;98;65;82;94
97;98;65;82;94
97;98;65;82;94
97;98;65;82;94
98;84;79;82;84
98;84;79;82;84
98;84;79;82;84
98;84;79;82;84
98;84;79;82;84
90;90;72;90;95
90;90;72;90;95
90;90;72;90;95
90;90;72;90;95
90;90;72;90;95
97;89;79;90;68
97;89;79;90;68
97;89;79;90;68
97;89;79;90;68
97;89;79;90;68
99;95;58;91;98
99;95;58;91;98
99;95;58;91;98
99;95;58;91;98
99;95;58;91;98
97;91;80;94;72
97;91;80;94;72
97;91;80;94;72
97;91;80;94;72
97;91;80;94;72
98;97;51;96;87
98;97;51;96;87
98;97;51;96;87
98;97;51;96;87
98;97;51;96;87
98;100;67;97;60
98;100;67;97;60
98;100;67;97;60
98;100;67;97;60
98;100;67;97;60
99;87;47;97;86
99;87;47;97;86
99;87;47;97;86
99;87;47;97;86
99;87;47;97;86
97;81;74;93;94
97;81;74;93;94
97;81;74;93;94
97;81;74;93;94
97;81;74;93;94
98;95;66;96;79
98;95;66;96;79
98;95;66;96;79
98;95;66;96;79
98;95;66;96;79
98;72;71;87;92
98;72;71;87;92
98;72;71;87;92
98;72;71;87;92
98;72;71;87;92
99;93;79;84;89
99;93;79;84;89
99;93;79;84;89
99;93;79;84;89
99;93;79;84;89
99;89;80;78;92
99;89;80;78;92
99;89;80;78;92
99;89;80;78;92
99;89;80;78;92
100;100;70;86;76
100;100;70;86;76
100;100;70;86;76
100;100;70;86;76
100;100;70;86;76
100;92;80;78;88
100;92;80;78;88
100;92;80;78;88
100;92;80;78;88
100;92;80;78;88
100;92;70;89;76
100;92;70;89;76
100;92;70;89;76
100;92;70;89;76
100;92;70;89;76
100;96;75;87;84
100;96;75;87;84
100;96;75;87;84
100;96;75;87;84
100;96;75;87;84
100;89;77;91;77
100;89;77;91;77
100;89;77;91;77
100;89;77;91;77
100;89;77;91;77
95;86;58;90;80
95;86;58;90;80
95;86;58;90;80
95;86;58;90;80
95;86;58;90;80
91;96;89;82;77
91;96;89;82;77
91;96;89;82;77
91;96;89;82;77
91;96;89;82;77
84;95;69;93;75
84;95;69;93;75
84;95;69;93;75
84;95;69;93;75
84;95;69;93;75
70;69;98;82;77
70;69;98;82;77
70;69;98;82;77
70;69;98;82;77
70;69;98;82;77
75;88;87;95;75
75;88;87;95;75
75;88;87;95;75
75;88;87;95;75
75;88;87;95;75
80;91;97;97;69
80;91;97;97;69
80;91;97;97;69
80;91;97;97;69
80;91;97;97;69
73;81;64;98;78
73;81;64;98;78
73;81;64;98;78
73;81;64;98;78
73;81;64;98;78
73;88;92;94;64
73;88;92;94;64
73;88;92;94;64
73;88;92;94;64
73;88;92;94;64
67;91;75;86;70
67;91;75;86;70
67;91;75;86;70
67;91;75;86;70
67;91;75;86;70
47;77;98;100;66
47;77;98;100;66
47;77;98;100;66
47;77;98;100;66
47;77;98;100;66
61;85;87;83;67
61;85;87;83;67
61;85;87;83;67
61;85;87;83;67
61;85;87;83;67
45;67;93;78;70
45;67;93;78;70
45;67;93;78;70
45;67;93;78;70
45;67;93;78;70
70;86;90;75;37
70;86;90;75;37
70;86;90;75;37
70;86;90;75;37
70;86;90;75;37
52;71;88;84;59
52;71;88;84;59
52;71;88;84;59
52;71;88;84;59
52;71;88;84;59
68;96;97;65;39
68;96;97;65;39
68;96;97;65;39
68;96;97;65;39
68;96;97;65;39
67;57;84;83;66
67;57;84;83;66
67;57;84;83;66
67;57;84;83;66
67;57;84;83;66
51;93;91;53;40
51;93;91;53;40
51;93;91;53;40
51;93;91;53;40
51;93;91;53;40
60;53;89;78;71
60;53;89;78;71
60;53;89;78;71
60;53;89;78;71
60;53;89;78;71
34;94;90;60;48
34;94;90;60;48
34;94;90;60;48
34;94;90;60;48
34;94;90;60;48
68;59;91;70;67
68;59;91;70;67
68;59;91;70;67
68;59;91;70;67
68;59;91;70;67
34;97;88;67;53
34;97;88;67;53
34;97;88;67;53
34;97;88;67;53
34;97;88;67;53
77;71;95;55;73
77;71;95;55;73
77;71;95;55;73
77;71;95;55;73
77;71;95;55;73
35;100;97;71;42
35;100;97;71;42
35;100;97;71;42
35;100;97;71;42
35;100;97;71;42
78;78;98;55;78
78;78;98;55;78
78;78;98;55;78
78;78;98;55;78
78;78;98;55;78
29;100;96;74;27
29;100;96;74;27
29;100;96;74;27
29;100;96;74;27
29;100;96;74;27
76;70;92;55;74
76;70;92;55;74
76;70;92;55;74
76;70;92;55;74
76;70;92;55;74
26;95;84;72;36
26;95;84;72;36
26;95;84;72;36
26;95;84;72;36
26;95;84;72;36
67;87;82;60;74
67;87;82;60;74
67;87;82;60;74
67;87;82;60;74
67;87;82;60;74
16;90;88;57;35
16;90;88;57;35
16;90;88;57;35
16;90;88;57;35
16;90;88;57;35
61;79;69;56;70
61;79;69;56;70
61;79;69;56;70
61;79;69;56;70
61;79;69;56;70
8;82;94;61;54
8;82;94;61;54
8;82;94;61;54
8;82;94;61;54
8;82;94;61;54
74;82;76;63;63
74;82;76;63;63
74;82;76;63;63
74;82;76;63;63
74;82;76;63;63
16;90;89;59;41
16;90;89;59;41
16;90;89;59;41
16;90;89;59;41
16;90;89;59;41
70;83;68;70;63
70;83;68;70;63
70;83;68;70;63
70;83;68;70;63
70;83;68;70;63
9;94;91;53;41
9;94;91;53;41
9;94;91;53;41
9;94;91;53;41
9;94;91;53;41
54;92;71;67;64
54;92;71;67;64
54;92;71;67;64
54;92;71;67;64
54;92;71;67;64
19;98;95;64;39
19;98;95;64;39
19;98;95;64;39
19;98;95;64;39
19;98;95;64;39
61;99;85;58;59
61;99;85;58;59
61;99;85;58;59
61;99;85;58;59
61;99;85;58;59
0;100;80;64;47
0;100;80;64;47
0;100;80;64;47
0;100;80;64;47
0;100;80;64;47
70;81;82;69;71
70;81;82;69;71
70;81;82;69;71
70;81;82;69;71
70;81;82;69;71
-8;88;65;67;33
-8;88;65;67;33
-8;88;65;67;33
-8;88;65;67;33
-8;88;65;67;33
74;93;92;57;65
74;93;92;57;65
74;93;92;57;65
74;93;92;57;65
74;93;92;57;65
-12;94;65;79;20
-12;94;65;79;20
-12;94;65;79;20
-12;94;65;79;20
-12;94;65;79;20
79;94;81;48;77
79;94;81;48;77
79;94;81;48;77
79;94;81;48;77
79;94;81;48;77
-11;98;62;86;23
-11;98;62;86;23
-11;98;62;86;23
-11;98;62;86;23
-11;98;62;86;23
80;100;97;49;86
80;100;97;49;86
80;100;97;49;86
80;100;97;49;86
80;100;97;49;86
-16;100;51;92;4
-16;100;51;92;4
-16;100;51;92;4
-16;100;51;92;4
-16;100;51;92;4
94;100;88;40;85
94;100;88;40;85
94;100;88;40;85
94;100;88;40;85
94;100;88;40;85
9;95;40;91;3
9;95;40;91;3
9;95;40;91;3
9;95;40;91;3
9;95;40;91;3
100;92;60;64;98
100;92;60;64;98
100;92;60;64;98
100;92;60;64;98
100;92;60;64;98
12;80;60;95;5
12;80;60;95;5
12;80;60;95;5
12;80;60;95;5
12;80;60;95;5
98;96;62;59;94
98;96;62;59;94
98;96;62;59;94
98;96;62;59;94
98;96;62;59;94
18;90;52;91;9
18;90;52;91;9
18;90;52;91;9
18;90;52;91;9
18;90;52;91;9
86;94;57;47;94
86;94;57;47;94
86;94;57;47;94
86;94;57;47;94
86;94;57;47;94
17;82;55;92;23
17;82;55;92;23
17;82;55;92;23
17;82;55;92;23
17;82;55;92;23
86;90;55;53;90
86;90;55;53;90
86;90;55;53;90
86;90;55;53;90
86;90;55;53;90
4;82;51;93;31
4;82;51;93;31
4;82;51;93;31
4;82;51;93;31
4;82;51;93;31
80;78;68;61;89
80;78;68;61;89
80;78;68;61;89
80;78;68;61;89
80;78;68;61;89
10;77;41;97;40
10;77;41;97;40
10;77;41;97;40
10;77;41;97;40
10;77;41;97;40
89;84;73;52;100
89;84;73;52;100
89;84;73;52;100
