value;proposed_method;mcc
61;;;
61;;;
61;;;
61;;;
61;;;
61;;;
61;;;
61;;;
61;;;
61;;;
61;;;
61;61;61
61;;;
61;;;
61;;;
61;;;
61;;;
61;;;
61;;;
61;;;
60;;;
60;;;
60;;;
60;;;
60;60;61
60;;;
60;;;
60;;;
60;;;
60;;;
60;;;
60;;;
60;;;
60;;;
60;60;61
60;;;
60;;;
59;;;
59;;;
59;59;61
59;;;
59;;;
59;;;
59;;;
59;;;
59;;;
59;59;61
58;;;
58;;;
58;;;
57;;;
57;;;
57;;;
56;;;
56;56;61
56;;;
56;;;
56;;;
56;;;
56;;;
56;;;
56;;;
56;;;
56;;;
56;56;61
56;;;
56;;;
56;;;
56;;;
56;56;61
56;;;
56;;;
56;;;
56;;;
55;;;
55;55;61
55;;;
55;;;
55;;;
55;;;
55;;;
55;;;
55;;;
55;;;
55;55;61
55;;;
54;;;
54;;;
54;;;
54;;;
54;;;
54;;;
54;;;
54;;;
54;;;
54;54;61
54;;;
54;;;
54;;;
54;;;
54;;;
54;;;
54;;;
54;;;
54;;;
54;;;
54;;;
54;54;61
54;;;
54;;;
54;;;
54;54;61
54;;;
54;;;
54;;;
54;;;
54;;;
54;;;
54;;;
54;;;
54;54;61
54;;;
54;;;
54;;;
54;;;
54;;;
54;;;
54;;;
54;;;
54;;;
54;;;
54;;;
53;54;61
53;;;
53;;;
53;;;
53;53;61
53;;;
53;;;
52;;;
51;;;
51;;;
51;;;
50;;;
50;;;
49;;;
49;;;
49;;;
49;;;
49;49;61
49;;;
49;;;
49;;;
49;;;
49;;;
49;49;61
49;;;
49;;;
49;;;
49;49;61
49;;;
49;;;
49;;;
49;;;
49;;;
49;;;
49;;;
49;49;61
49;;;
49;;;
49;;;
49;;;
49;;;
49;;;
49;;;
49;49;61
48;;;
48;;;
48;;;
48;;;
48;48;61
48;48;61
48;;;
48;;;
48;;;
48;;;
48;48;61
48;;;
48;;;
48;;;
48;;;
48;;;
48;48;61
48;;;
48;;;
48;48;61
48;;;
48;;;
48;;;
48;48;61
48;48;61
47;;;
47;48;61
47;;;
47;;;
47;;;
47;;;
47;;;
47;;;
47;;;
47;;;
47;;;
47;47;61
47;;;
47;47;61
47;;;
47;;;
47;;;
47;;;
47;;;
47;;;
47;;;
47;;;
47;;;
47;;;
47;;;
47;47;61
47;;;
47;;;
47;47;61
47;;;
47;;;
46;;;
46;;;
46;;;
46;;;
46;;;
46;;;
46;;;
46;;;
45;46;61
45;;;
45;;;
45;;;
45;;;
45;;;
45;;;
45;;;
44;;;
44;;;
44;;;
44;;;
44;44;61
44;;;
44;;;
44;;;
43;;;
43;;;
43;;;
43;;;
43;;;
43;;;
43;43;61
43;;;
43;;;
43;;;
43;;;
43;;;
43;;;
43;43;61
43;;;
43;;;
43;43;61
42;;;
42;;;
42;42;61
42;42;61
42;;;
42;;;
42;;;
42;;;
42;;;
42;;;
42;;;
41;;;
41;;;
41;;;
41;;;
41;41;61
41;;;
41;;;
41;;;
41;;;
40;;;
40;;;
40;;;
40;40;61
39;;;
39;;;
39;39;61
39;;;
39;;;
39;;;
39;;;
39;;;
39;;;
39;;;
39;;;
39;39;61
39;;;
39;;;
39;39;61
39;;;
39;39;61
39;;;
39;;;
39;;;
39;;;
39;;;
39;;;
39;;;
39;;;
39;;;
39;;;
39;;;
39;;;
39;39;61
39;;;
39;;;
39;;;
39;;;
39;;;
39;;;
39;;;
39;;;
39;;;
39;;;
39;39;61
39;;;
39;;;
39;;;
39;;;
39;39;61
39;;;
39;;;
39;;;
39;;;
39;;;
39;;;
39;;;
39;39;61
39;39;61
39;;;
39;39;61
39;;;
39;;;
39;;;
39;39;61
39;;;
39;;;
39;;;
39;;;
39;;;
39;;;
39;;;
39;;;
39;;;
39;39;61
39;;;
38;;;
38;;;
38;;;
38;38;61
38;;;
38;;;
38;;;
38;;;
38;;;
38;;;
38;;;
38;;;
38;;;
37;38;61
37;;;
37;;;
37;;;
37;37;61
37;;;
37;;;
37;;;
36;;;
36;36;61
36;;;
36;;;
36;;;
36;;;
36;;;
36;;;
36;36;61
36;;;
35;;;
35;;;
35;;;
35;35;61
35;;;
35;;;
35;;;
35;;;
35;;;
35;;;
35;;;
35;;;
35;35;61
35;35;61
35;;;
35;;;
35;;;
34;;;
34;;;
34;;;
33;34;61
33;;;
33;33;61
33;;;
33;;;
33;;;
33;;;
32;;;
32;;;
32;;;
32;;;
32;32;61
32;;;
32;;;
32;;;
32;;;
32;;;
32;32;61
32;32;61
32;;;
32;;;
32;;;
31;;;
31;;;
31;;;
31;31;61
31;;;
30;;;
30;;;
30;;;
30;;;
30;30;61
30;;;
30;;;
29;;;
28;;;
28;;;
28;28;61
28;;;
28;;;
28;;;
28;;;
28;;;
27;;;
27;;;
27;27;61
27;;;
27;;;
27;;;
27;;;
27;;;
27;;;
27;;;
26;;;
26;;;
26;26;61
26;;;
26;;;
26;26;61
25;;;
25;;;
25;;;
25;25;61
25;;;
25;;;
25;;;
25;;;
25;;;
24;;;
24;24;61
23;;;
23;;;
23;23;61
23;;;
23;;;
23;;;
23;;;
22;23;61
22;22;61
