value;proposed_method;mcc
76;;;
76;;;
76;;;
76;;;
76;;;
76;;;
76;;;
76;;;
76;;;
76;56;76
76;;;
76;;;
76;56;76
76;;;
76;;;
76;;;
76;;;
75;56;76
75;;;
75;;;
75;;;
75;;;
75;;;
75;;;
75;;;
75;;;
75;75;76
74;;;
74;;;
74;;;
74;;;
74;;;
74;;;
74;;;
74;;;
74;56;76
74;;;
74;;;
74;;;
74;;;
74;;;
74;;;
74;;;
74;;;
74;;;
74;;;
74;56;76
74;;;
74;;;
74;;;
74;;;
74;56;76
74;;;
74;;;
74;;;
74;;;
74;;;
74;56;76
74;;;
74;;;
74;;;
74;;;
74;;;
74;;;
74;;;
74;;;
74;;;
74;;;
74;;;
74;;;
74;56;76
74;;;
74;;;
74;;;
74;;;
74;;;
74;;;
74;;;
74;;;
74;;;
74;;;
74;56;76
74;;;
74;;;
74;;;
74;;;
74;56;76
74;;;
74;;;
74;;;
74;;;
74;;;
74;;;
74;;;
74;;;
74;;;
74;56;76
74;;;
74;;;
74;;;
73;;;
73;;;
73;;;
73;;;
73;;;
73;;;
73;;;
73;;;
73;;;
73;56;76
73;;;
73;;;
73;;;
72;;;
72;;;
72;;;
72;;;
72;56;76
72;;;
72;;;
72;;;
72;;;
72;;;
72;;;
72;56;76
72;;;
72;;;
72;;;
72;;;
72;;;
72;;;
72;56;76
71;;;
71;;;
71;;;
71;;;
71;;;
71;;;
71;;;
70;;;
70;;;
70;;;
70;56;76
70;;;
70;;;
70;;;
70;;;
70;;;
70;;;
70;;;
70;;;
70;56;76
70;;;
70;;;
70;;;
70;;;
70;;;
70;;;
70;;;
70;;;
69;;;
69;;;
69;;;
69;;;
69;56;76
69;;;
69;56;76
69;;;
69;;;
69;;;
69;;;
69;;;
69;;;
69;;;
69;;;
69;;;
69;56;76
68;;;
68;;;
68;;;
68;;;
68;56;76
68;;;
68;;;
68;;;
68;56;76
68;56;76
68;;;
68;;;
68;;;
68;;;
68;;;
68;;;
68;;;
68;;;
68;;;
67;;;
67;56;76
67;;;
67;;;
66;;;
66;;;
66;;;
66;;;
66;;;
66;;;
66;56;76
66;;;
66;;;
66;56;76
66;;;
66;56;76
66;;;
65;;;
65;;;
65;;;
65;;;
65;;;
65;;;
65;;;
65;;;
65;;;
65;;;
65;;;
64;56;76
64;56;76
64;;;
64;;;
64;;;
64;;;
64;;;
64;;;
64;56;76
64;;;
64;;;
63;;;
63;;;
63;;;
63;;;
63;56;76
62;;;
62;;;
62;;;
62;;;
62;;;
62;;;
62;;;
61;;;
61;;;
61;56;76
61;;;
61;;;
61;;;
61;;;
61;;;
61;;;
61;;;
60;56;76
60;;;
60;;;
60;56;76
60;;;
60;;;
60;;;
60;;;
60;;;
60;;;
60;;;
60;;;
59;;;
59;;;
59;56;76
59;;;
58;;;
58;;;
58;;;
58;;;
58;56;76
58;;;
58;;;
58;;;
58;;;
58;;;
57;;;
57;;;
57;;;
57;56;76
57;56;76
57;;;
56;;;
56;;;
56;;;
56;;;
56;;;
56;;;
56;;;
56;;;
56;;;
56;;;
56;;;
56;56;76
56;;;
56;;;
55;;;
55;;;
55;;;
55;;;
55;;;
55;;;
55;;;
55;;;
55;;;
55;56;76
54;;;
54;;;
54;;;
54;;;
54;;;
54;;;
54;;;
54;56;76
54;;;
54;;;
54;;;
54;;;
54;56;76
54;;;
54;;;
54;;;
54;;;
53;;;
53;56;76
53;;;
52;;;
52;;;
52;;;
52;;;
52;;;
52;;;
52;;;
52;;;
52;56;76
52;;;
51;;;
50;;;
49;;;
49;56;76
49;;;
49;;;
49;;;
49;;;
48;;;
48;;;
48;;;
48;;;
48;;;
48;;;
48;;;
48;;;
48;56;76
48;;;
47;;;
47;;;
47;;;
46;;;
46;;;
45;56;76
45;;;
44;;;
44;;;
44;;;
44;;;
44;;;
44;;;
44;56;76
