value;proposed_method;mcc
72;;;
72;;;
72;72;72
72;;;
71;;;
71;72;72
71;;;
71;;;
71;;;
71;;;
71;;;
71;;;
71;;;
71;;;
71;71;72
71;;;
71;;;
71;71;72
71;;;
71;;;
71;;;
71;;;
71;;;
71;;;
71;;;
71;;;
71;;;
71;;;
70;;;
70;;;
70;70;72
70;;;
70;;;
70;;;
70;;;
70;;;
70;;;
70;;;
70;;;
70;;;
70;;;
70;70;72
70;;;
70;;;
70;;;
70;;;
70;;;
70;;;
70;;;
70;;;
70;;;
70;70;72
70;;;
70;;;
70;;;
70;;;
70;70;72
70;;;
70;;;
70;70;72
70;;;
70;;;
70;;;
70;;;
70;;;
70;;;
70;;;
70;;;
70;;;
70;;;
70;70;72
70;;;
70;;;
70;;;
70;;;
70;;;
70;;;
70;;;
70;;;
70;70;72
70;;;
70;;;
70;;;
70;;;
70;;;
69;70;72
69;69;72
69;;;
69;;;
69;;;
69;;;
69;;;
69;;;
69;;;
69;;;
69;;;
68;;;
68;;;
68;;;
68;68;72
68;;;
68;;;
68;;;
68;;;
68;68;72
68;;;
68;;;
68;;;
68;;;
68;;;
68;;;
68;;;
68;;;
68;;;
68;;;
68;;;
68;68;72
68;;;
68;;;
68;;;
68;;;
68;68;72
68;;;
68;;;
68;;;
68;;;
68;68;72
68;;;
68;;;
67;68;72
67;;;
67;;;
67;67;72
67;;;
67;;;
67;;;
67;;;
67;;;
67;;;
67;;;
67;;;
67;;;
67;67;72
67;;;
66;67;72
66;;;
66;;;
66;;;
65;;;
65;;;
65;;;
65;;;
64;;;
64;;;
63;64;72
62;;;
62;;;
62;;;
62;;;
62;;;
61;;;
61;;;
61;61;72
61;;;
61;;;
61;;;
61;;;
61;;;
61;;;
61;;;
61;;;
61;;;
61;;;
61;;;
61;;;
61;61;72
61;;;
61;;;
61;;;
61;;;
61;;;
61;;;
61;;;
61;;;
61;61;72
61;;;
61;;;
61;;;
60;;;
60;;;
60;;;
60;60;72
60;;;
60;;;
60;;;
60;;;
60;60;72
60;;;
60;60;72
60;;;
60;60;72
60;60;72
60;;;
60;;;
60;;;
60;;;
60;60;72
60;;;
60;;;
60;;;
60;;;
60;60;72
60;;;
60;;;
60;;;
60;60;72
60;;;
60;;;
60;;;
60;;;
60;;;
60;;;
60;;;
60;;;
60;;;
60;;;
60;;;
60;60;72
60;;;
60;;;
60;;;
60;;;
60;;;
60;60;72
60;;;
60;;;
60;;;
60;;;
60;;;
60;;;
60;;;
60;;;
60;;;
60;;;
60;;;
60;;;
60;60;72
60;;;
60;60;72
60;;;
60;;;
60;60;72
60;;;
60;;;
60;;;
60;;;
60;;;
59;;;
59;59;72
59;;;
59;;;
59;;;
59;;;
59;;;
59;;;
59;;;
59;;;
59;;;
59;;;
59;;;
59;59;72
59;;;
59;;;
58;;;
58;;;
58;;;
58;;;
58;;;
58;;;
58;;;
58;;;
58;58;72
58;;;
58;;;
58;;;
58;;;
58;;;
58;;;
58;;;
58;;;
58;58;72
58;;;
58;;;
57;;;
57;;;
57;;;
57;;;
57;;;
57;57;72
57;;;
57;;;
57;;;
57;;;
57;;;
57;;;
57;;;
57;;;
57;57;72
57;;;
57;;;
57;;;
57;;;
57;;;
57;;;
57;;;
57;;;
57;57;72
57;;;
57;;;
57;;;
57;;;
57;;;
57;57;72
57;;;
57;;;
57;;;
57;;;
56;;;
55;;;
55;;;
55;;;
55;;;
55;;;
55;55;72
55;;;
55;;;
55;55;72
55;;;
55;;;
55;;;
55;;;
55;;;
55;;;
55;;;
55;;;
55;55;72
55;;;
55;;;
55;;;
55;;;
55;;;
55;;;
55;55;72
55;;;
55;;;
55;;;
55;;;
55;;;
55;;;
55;;;
55;;;
55;;;
55;;;
55;55;72
