Node variation;Proposed Approach;A. CH. Selection in MCC
1925;;
1925;;
1925;;
1925;;
1925;;
1802;;
1802;;
1802;;
1802;;
1802;;
1741;;
1679;1741;1925
1679;;
1618;;
1638;;
1638;;
1638;;
1638;;
1659;;
1659;;
1720;;
1720;;
1720;;
1720;;
1659;1720;1925
1659;;
1556;;
1597;;
1597;;
1597;;
1597;;
1597;;
1597;;
1597;;
1638;1597;1925
1720;;
1720;;
1761;;
1720;;
1700;1720;1925
1700;;
1741;;
1700;;
1782;;
1782;;
1782;;
1782;1782;1925
1720;;
1720;;
1720;;
1720;;
1372;;
1372;;
1434;;
1290;1434;1925
1290;;
1290;;
1290;;
1290;;
1290;;
1372;;
1372;;
1372;;
1352;;
1352;1352;1925
1352;;
1352;;
1352;;
1352;;
1352;1352;1925
1475;;
1516;;
1516;;
1536;;
1536;;
1536;1536;1925
1536;;
1597;;
1618;;
1618;;
1720;;
1720;;
1720;;
1536;;
1536;1536;1925
1577;;
1577;;
1475;;
1413;;
1434;;
1434;;
1495;;
1495;;
1495;;
1495;;
1577;1495;1925
1577;;
1516;;
1577;;
1577;;
1597;;
1597;;
1597;;
1352;;
1372;;
1434;;
1434;;
1434;1434;1925
1454;;
1352;;
1352;;
1352;1352;1925
1352;;
1372;;
1372;;
1536;;
1536;;
1536;;
1597;;
1597;;
1618;1597;1925
1659;;
1659;;
1659;;
1659;;
1659;;
1659;;
1659;;
1659;;
1659;;
1659;;
1659;;
1659;1659;1925
1659;;
1659;;
1372;;
1372;1372;1925
1393;;
1516;;
1516;;
1516;;
1516;;
1536;;
1536;;
1536;;
1659;;
1659;;
1659;;
1679;;
1679;1679;1925
1700;;
1700;;
1700;;
1700;;
1700;;
1700;1700;1925
1720;;
1720;;
1638;;
1638;1638;1925
1659;;
1577;;
1700;;
1700;;
1638;;
1638;;
1638;;
1638;1638;1925
1638;;
1720;;
1720;;
1720;;
1720;;
1720;;
1700;;
1700;1700;1925
1700;;
1700;;
1638;;
1638;;
1638;1638;1925
1761;1638;1925
1761;;
1720;;
1720;;
1659;;
1638;1720;1925
1638;;
1638;;
1638;;
1638;;
1638;;
1638;1638;1925
1638;;
1659;;
1659;1659;1925
1659;;
1659;;
1536;;
1495;1536;1925
1495;1495;1925
1495;;
1495;1495;1925
1495;;
1495;;
1495;;
1413;;
1434;;
1434;;
1434;;
1516;;
1536;;
1536;1536;1925
1679;;
1679;1679;1925
1618;;
1843;;
1782;;
1761;;
1659;;
1556;;
1556;;
1618;;
1618;;
1434;;
1434;;
1434;1434;1925
1434;;
1434;;
1434;1434;1925
1454;;
1454;;
1454;;
1454;;
1454;;
1454;;
1454;;
1454;;
1454;;
1475;;
1556;1475;1925
1556;;
1556;;
1577;;
1577;;
1577;;
1577;;
1577;;
1434;;
1434;;
1434;;
1434;;
1434;1434;1925
1434;;
1475;;
1475;;
1556;;
1700;;
1679;;
1679;;
1536;;
1638;;
1638;1638;1925
1638;;
1823;;
1761;;
1761;;
1761;;
1884;;
1720;1884;1925
1720;;
1761;;
1516;1761;1925
1516;;
1516;;
1516;1516;1925
1516;1516;1925
1638;;
1638;;
1638;;
1638;;
1638;;
1761;;
1761;;
1597;;
1618;;
1679;;
1679;;
1679;1679;1925
1597;;
1597;;
1638;;
1638;;
1659;;
1679;;
1720;;
1720;1679;1925
1720;;
1720;;
1679;1720;1925
1679;;
1638;;
1638;;
1638;;
1638;;
1556;;
1556;;
1556;;
1618;1556;1925
1618;;
1618;;
1618;1618;1925
1618;;
1556;1618;1925
1556;;
1556;;
1720;;
1720;;
1700;;
1638;;
1761;;
1761;;
1720;;
1720;;
1618;;
1741;;
1741;1618;1925
1741;;
1782;;
1761;;
1761;;
1761;;
1761;;
1761;;
1843;;
1843;;
1823;;
1802;1843;1925
1782;;
1782;;
1843;;
1802;;
1802;1802;1925
1802;;
1802;;
1802;;
1802;;
1741;;
1741;;
1659;;
1597;1659;1925
1597;1597;1925
1618;;
1700;1618;1925
1700;;
1700;;
1659;;
1659;1659;1925
1372;;
1372;;
1454;;
1475;;
1475;;
1475;;
1475;;
1495;;
1556;;
1556;1556;1925
1618;;
1679;;
1638;;
1638;;
1638;1638;1925
1638;;
1741;;
1741;;
1720;;
1700;;
1700;;
1700;;
1618;;
1618;;
1638;1618;1925
1618;;
1618;;
1618;;
1597;1618;1925
1659;;
1720;;
1720;;
1720;;
1618;1720;1925
1618;;
1679;;
1659;;
1659;;
1618;;
1700;;
1679;1700;1925
1577;;
1577;;
1577;;
1577;;
1577;1577;1925
1577;;
1659;;
1638;;
1659;;
1659;;
1659;;
1638;;
1966;;
1966;1966;1925
1966;1966;1925
1946;;
1946;;
1925;;
1925;;
1823;;
1741;;
1720;1741;1925
1659;;
1638;1659;1925
1638;;
1782;;
1761;;
1761;;
1823;;
1823;;
1823;;
1782;;
1782;1823;1925
1782;;
1782;;
1700;;
1925;;
1884;;
1864;1925;1925
1864;1864;1925
1864;;
1864;;
1884;;
1864;;
1864;;
1864;;
1864;1864;1925
1761;;
1700;;
1700;;
1679;;
1679;;
1556;1679;1925
1556;;
1556;;
1556;;
1556;;
1352;;
1393;1352;1925
1393;;
1413;;
1475;;
1577;;
1577;;
1618;;
1618;;
1618;1618;1925
1618;;
1741;;
1618;;
1618;;
1638;;
1638;;
1638;;
1638;;
1638;;
1597;1638;1925
1700;;
1700;;
1679;1700;1925
1679;;
1679;;
1679;;
1638;1679;1925
1638;;
1638;;
1618;;
1618;;
1618;;
1679;;
1679;1679;1925
1679;;
1679;;
1679;1679;1925
1679;;
1638;;
1659;;
1659;;
1659;1659;1925
1987;1659;1925
