value;proposed_method;mcc
717;;;
717;;;
717;;;
614;;;
614;;;
614;;;
451;;;
451;;;
451;;;
348;187;717
348;;;
389;;;
430;184;717
430;;;
328;;;
266;;;
451;;;
410;182;717
410;;;
369;;;
389;;;
389;;;
307;;;
307;;;
307;;;
287;;;
410;287;717
410;;;
389;;;
389;;;
369;;;
369;;;
492;;;
492;;;
778;;;
963;141;717
963;;;
737;;;
737;;;
737;;;
737;;;
737;;;
737;;;
737;;;
737;;;
737;;;
717;133;717
635;;;
635;;;
573;;;
553;;;
553;92;717
553;;;
553;;;
553;;;
553;;;
553;;;
553;69;717
553;;;
553;;;
553;;;
532;;;
410;;;
410;;;
410;;;
410;;;
410;;;
471;;;
471;;;
471;;;
471;92;717
471;;;
553;;;
553;;;
553;;;
614;;;
614;;;
614;;;
614;;;
614;;;
594;;;
696;105;717
696;;;
696;;;
594;;;
840;;;
860;102;717
717;;;
717;;;
635;;;
635;;;
737;;;
737;;;
737;;;
737;;;
737;;;
737;95;717
737;;;
737;;;
737;;;
737;;;
737;;;
819;;;
819;;;
860;;;
860;;;
963;;;
922;;;
840;;;
840;0;717
758;;;
778;;;
778;;;
881;;;
717;;;
696;;;
696;;;
799;15;717
799;;;
717;;;
717;;;
717;;;
819;;;
819;;;
819;13;717
819;;;
819;;;
655;;;
655;;;
655;;;
635;;;
819;13;717
819;;;
901;;;
942;;;
942;;;
942;;;
942;;;
942;;;
942;;;
942;;;
942;;;
942;28;717
1044;;;
1044;;;
1044;;;
1044;;;
1044;;;
758;;;
758;;;
758;;;
758;10;717
758;;;
758;;;
758;;;
819;;;
840;;;
819;;;
819;;;
676;;;
676;;;
676;;;
696;;;
492;;;
492;15;717
492;;;
430;20;717
410;;;
410;;;
410;;;
410;;;
410;;;
410;;;
410;;;
410;;;
451;;;
451;23;717
451;;;
471;;;
471;;;
410;;;
451;41;717
471;;;
471;;;
451;;;
451;51;717
451;38;717
451;;;
451;;;
410;;;
410;;;
410;;;
410;;;
410;;;
430;;;
430;;;
430;;;
430;31;717
430;;;
430;;;
594;;;
614;;;
676;;;
676;;;
676;;;
696;;;
717;23;717
717;;;
717;;;
614;23;717
471;;;
471;23;717
471;;;
471;;;
614;;;
614;;;
614;;;
614;;;
614;;;
573;;;
573;;;
512;;;
512;;;
512;;;
389;33;717
348;23;717
348;;;
348;;;
348;;;
348;;;
369;;;
389;;;
451;49;717
430;;;
430;;;
430;;;
430;;;
410;;;
246;;;
328;10;717
328;;;
328;;;
430;;;
430;;;
635;;;
655;;;
655;;;
655;;;
655;;;
655;3;717
614;;;
696;;;
696;;;
696;;;
696;;;
696;;;
696;;;
614;59;717
573;;;
655;;;
655;59;717
655;;;
655;;;
655;;;
451;;;
451;;;
451;;;
451;;;
451;;;
451;;;
451;;;
451;41;717
451;;;
451;;;
451;;;
451;;;
553;;;
532;23;717
532;;;
655;;;
655;;;
614;;;
614;;;
614;;;
635;;;
573;;;
430;10;717
430;13;717
430;;;
553;;;
553;;;
594;;;
758;;;
758;;;
655;;;
655;;;
655;;;
676;;;
676;;;
696;;;
717;18;717
717;;;
717;;;
717;;;
778;;;
778;;;
799;;;
778;;;
778;;;
778;;;
799;;;
799;;;
799;28;717
799;;;
799;;;
799;;;
655;;;
655;;;
614;;;
553;;;
553;20;717
553;;;
553;;;
553;;;
553;;;
553;13;717
635;;;
635;;;
635;;;
184;;;
41;;;
61;10;717
61;;;
102;;;
102;;;
102;;;
164;;;
184;;;
184;;;
184;;;
184;;;
389;23;717
389;;;
389;;;
287;;;
287;;;
328;8;717
451;;;
451;;;
123;;;
20;;;
20;;;
61;;;
82;;;
143;;;
143;;;
82;;;
82;;;
143;;;
143;38;717
225;;;
246;;;
246;;;
307;;;
307;;;
348;;;
307;64;717
307;;;
307;;;
266;;;
410;;;
389;;;
369;;;
369;;;
369;64;717
