value;proposed_method;mcc
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
21.0;;;
21.0;;;
21.0;;;
20.0;;;
21.0;20.0;20.0
18.0;;;
19.0;;;
19.0;;;
17.0;;;
18.0;;;
19.0;;;
19.0;19.0;20.0
19.0;19.0;20.0
20.0;;;
20.0;20.0;20.0
20.0;20.0;20.0
20.0;20.0;20.0
20.0;;;
19.0;;;
17.0;;;
22.0;;;
22.0;;;
22.0;;;
22.0;;;
22.0;;;
22.0;;;
22.0;;;
21.0;;;
21.0;;;
21.0;21.0;20.0
21.0;;;
21.0;;;
18.0;;;
18.0;;;
18.0;18.0;20.0
18.0;;;
16.0;;;
15.0;;;
15.0;;;
16.0;;;
16.0;;;
16.0;;;
19.0;16.0;20.0
19.0;;;
19.0;;;
19.0;;;
18.0;;;
18.0;;;
18.0;;;
17.0;;;
14.0;18.0;20.0
14.0;14.0;20.0
14.0;;;
14.0;;;
14.0;14.0;20.0
15.0;14.0;20.0
18.0;14.0;20.0
