value;proposed_method;mcc
18.0;;;
18.0;;;
18.0;18.0;18.0
19.0;;;
19.0;;;
19.0;19.0;18.0
20.0;;;
20.0;;;
22.0;;;
22.0;;;
22.0;;;
22.0;;;
22.0;;;
22.0;;;
22.0;22.0;18.0
19.0;;;
19.0;;;
19.0;19.0;18.0
19.0;;;
19.0;;;
19.0;;;
17.0;;;
18.0;;;
18.0;;;
18.0;;;
18.0;;;
15.0;;;
15.0;;;
14.0;;;
15.0;;;
16.0;15.0;18.0
17.0;;;
15.0;;;
13.0;;;
16.0;;;
17.0;;;
18.0;;;
16.0;;;
18.0;;;
18.0;;;
19.0;;;
19.0;18.0;18.0
20.0;;;
20.0;;;
20.0;;;
20.0;;;
17.0;;;
18.0;;;
15.0;;;
15.0;;;
17.0;;;
14.0;17.0;18.0
16.0;;;
16.0;;;
16.0;;;
16.0;;;
14.0;16.0;18.0
14.0;;;
13.0;;;
10.0;14.0;18.0
8.0;;;
8.0;;;
6.0;;;
6.0;;;
6.0;;;
5.0;;;
5.0;;;
2.0;;;
3.0;;;
6.0;;;
3.0;6.0;18.0
3.0;;;
4.0;;;
5.0;;;
4.0;;;
2.0;;;
2.0;;;
2.0;;;
3.0;;;
1.0;3.0;18.0
1.0;;;
2.0;;;
4.0;;;
4.0;;;
1.0;;;
4.0;1.0;18.0
2.0;4.0;18.0
2.0;;;
5.0;;;
5.0;;;
2.0;;;
3.0;;;
3.0;;;
2.0;;;
2.0;;;
2.0;;;
2.0;;;
4.0;;;
4.0;;;
6.0;4.0;18.0
6.0;;;
6.0;;;
5.0;;;
5.0;;;
3.0;5.0;18.0
1.0;;;
2.0;;;
2.0;;;
4.0;;;
4.0;;;
5.0;;;
5.0;;;
5.0;;;
6.0;;;
8.0;;;
10.0;;;
12.0;10.0;18.0
9.0;;;
10.0;;;
10.0;;;
7.0;;;
7.0;10.0;18.0
7.0;;;
7.0;;;
7.0;;;
7.0;;;
7.0;7.0;18.0
7.0;;;
7.0;;;
10.0;7.0;18.0
10.0;;;
8.0;;;
9.0;8.0;18.0
