controller;round;mobility;battery;memory_avaliable;signal_strentch;processing
controller 89;1;99;95;78;25.954002;50
controller 94;35;100;89;85;31.974604;60
controller 79;41;96;96;81;16.33041;100
controller 26;45;88;90;79;31.974604;100
controller 89;58;100;93;80;22.211601;50
controller 94;65;100;87;80;20.182707;60
controller 89;127;97;89;95;31.974604;50
controller 26;200;91;81;82;13.905429;100
controller 94;207;100;77;73;31.974604;60
controller 89;210;97;83;97;13.46551;50
controller 26;243;99;79;87;7.6163716;100
controller 89;286;100;76;61;25.930075;50
controller 26;314;94;75;96;6.995362;100
controller 58;334;98;57;55;8.973812;100
controller 94;346;95;68;73;65.68226;60
controller 26;394;95;72;85;28.046717;100
controller 89;492;100;65;20;31.974604;50
controller 26;496;97;68;82;4.271489;100
controller 23;497;100;25;82;31.974604;60
controller 51;507;89;76;81;1.1143541;90
controller 81;601;100;42;82;31.974604;90
controller 89;605;98;59;7;31.974604;50
controller 51;610;91;68;95;3.139862;90
controller 83;623;92;24;80;8.068839;50
controller 1;630;95;32;81;31.974604;90
controller 51;633;100;68;76;5.1695714;90
controller 67;734;100;43;84;31.974604;100
controller 89;771;96;53;23;20.590414;50
controller 67;789;93;39;87;16.102264;100
controller 33;801;91;11;97;31.974604;50
controller 69;807;100;48;76;31.974604;60
controller 89;827;100;51;10;14.88064;50
controller 32;843;95;29;74;6.7128034;75
controller 57;843;100;42;4;40.62655;60
