controller;round;mobility;battery;memory_avaliable;signal_strentch;processing
controller 12;1;100;81;68;19.0;50
controller 17;5;100;84;82;19.0;50
controller 37;7;100;52;74;16.0;90
controller 40;10;100;89;51;20.0;0
controller 37;18;100;52;69;20.0;90
controller 12;23;100;78;81;19.0;50
controller 85;25;100;92;65;5.0;50
controller 34;27;100;72;52;20.0;50
controller 37;35;100;51;84;20.0;90
controller 34;39;100;71;73;20.0;50
controller 12;41;100;77;76;20.0;50
controller 40;45;100;86;88;20.0;0
controller 37;50;100;51;100;19.0;90
controller 85;55;100;92;78;5.0;50
controller 34;57;100;70;79;20.0;50
controller 40;72;100;86;79;20.0;0
controller 37;76;100;50;99;20.0;90
controller 34;88;100;67;69;20.0;50
controller 12;91;100;72;97;20.0;50
controller 40;100;100;84;70;20.0;0
controller 37;104;100;48;97;20.0;90
controller 34;122;100;65;90;20.0;50
controller 37;131;100;47;53;20.0;90
controller 85;133;100;92;86;7.0;50
controller 12;209;100;61;89;20.0;50
controller 85;211;100;92;89;4.0;50
controller 12;221;100;58;76;20.0;50
controller 34;227;100;55;78;20.0;50
controller 80;230;100;98;80;8.0;75
controller 82;232;100;95;51;10.0;75
controller 17;245;10;66;79;20.0;50
controller 34;247;100;54;69;20.0;50
controller 87;254;100;59;51;19.0;50
controller 85;261;100;92;91;1.0;50
controller 87;269;100;59;69;20.0;50
controller 80;341;100;98;84;16.0;75
controller 87;350;100;59;66;20.0;50
controller 80;365;100;98;83;17.0;75
controller 85;369;100;92;72;1.0;50
controller 80;394;100;98;80;17.0;75
controller 61;398;100;69;84;12.0;50
controller 91;403;100;72;83;14.0;75
controller 87;409;100;59;74;17.0;50
controller 80;425;100;98;80;19.0;75
controller 87;485;100;59;84;20.0;50
controller 80;488;100;98;85;19.0;75
controller 50;508;100;99;84;13.0;75
controller 61;511;100;69;74;14.0;50
controller 80;528;100;98;85;18.0;75
controller 85;544;100;92;82;1.0;50
controller 51;563;100;55;56;9.0;75
controller 87;565;100;59;54;16.0;50
controller 80;573;100;98;85;13.0;75
controller 61;583;100;69;77;12.0;50
controller 85;587;100;92;80;2.0;50
controller 91;652;100;72;79;15.0;75
controller 85;673;100;92;76;3.0;50
controller 72;701;100;81;81;18.0;75
controller 50;707;100;99;80;17.0;75
controller 61;778;100;69;68;13.0;50
controller 50;780;100;99;95;16.0;75
controller 67;789;100;99;88;8.0;75
controller 72;792;100;81;84;17.0;75
controller 87;799;100;59;80;20.0;50
controller 50;819;100;99;82;17.0;75
controller 61;828;100;69;76;19.0;50
controller 50;868;100;99;79;18.0;75
controller 72;876;100;81;81;17.0;75
controller 85;880;100;92;78;4.0;50
controller 61;897;100;69;81;15.0;50
