controller;battery;memory_avaliable;total_memory_avaliable
controller 10;98;58;1188
controller 10;98;58;1188
controller 10;97;58;1188
controller 10;97;61;1249
controller 10;97;61;1249
controller 10;97;61;1249
controller 10;96;62;1270
controller 10;95;62;1270
controller 10;95;62;1270
controller 10;95;62;1270
controller 10;95;62;1270
controller 10;95;62;1270
controller 10;95;60;1229
controller 10;95;60;1229
controller 10;94;57;1167
controller 10;93;51;1044
controller 10;93;47;963
controller 10;93;53;1085
controller 10;93;53;1085
controller 10;93;60;1229
controller 53;96;66;1352
controller 53;96;66;1352
controller 53;96;66;1352
controller 53;96;72;1475
controller 53;96;72;1475
controller 53;96;72;1475
controller 89;93;100;1024
controller 89;93;100;1024
controller 89;92;100;1024
controller 89;92;100;1024
controller 89;92;100;1024
controller 71;70;76;1556
controller 71;70;76;1556
controller 71;70;76;1556
controller 53;96;82;1679
controller 53;96;78;1597
controller 53;96;78;1597
controller 53;95;78;1597
controller 53;95;78;1597
controller 53;94;78;1597
controller 10;90;78;1597
controller 10;89;78;1597
controller 10;89;78;1597
controller 10;89;78;1597
controller 10;89;78;1597
controller 10;88;77;1577
controller 10;88;76;1556
controller 10;87;76;1556
controller 10;87;76;1556
controller 10;87;62;1270
controller 10;87;62;1270
controller 10;86;59;1208
controller 89;91;96;983
controller 89;91;92;942
controller 89;91;93;952
controller 89;91;87;891
controller 53;94;96;1966
controller 53;94;96;1966
controller 53;94;96;1966
controller 66;97;57;1167
controller 66;96;58;1188
controller 66;96;53;1085
controller 66;95;59;1208
controller 81;73;100;2048
controller 81;73;96;1966
controller 81;73;96;1966
controller 81;73;96;1966
controller 81;73;96;1966
controller 81;73;92;1884
controller 81;73;92;1884
controller 81;73;92;1884
controller 81;73;93;1905
controller 81;73;93;1905
controller 81;73;93;1905
controller 66;94;62;1270
controller 66;94;55;1126
controller 89;89;95;973
controller 89;89;94;963
controller 89;89;90;922
controller 89;89;90;922
controller 89;88;90;922
controller 89;88;93;952
controller 89;88;97;993
controller 89;88;99;1014
controller 89;88;99;1014
controller 89;88;99;1014
