round;wD;wB;wM;wS;wP
1;0.200000003;0.25;0.25;0.100000001;0.200000003
2;0.200000003;0.25;0.25;0.100000001;0.200000003
3;0.1;0.35;0.25;0.15;0.15
4;0.1;0.35;0.25;0.15;0.15
5;0.1;0.35;0.25;0.15;0.15
6;0.1;0.35;0.25;0.15;0.15
7;0.1;0.35;0.25;0.15;0.15
8;0.1;0.35;0.25;0.15;0.15
9;0.1;0.35;0.25;0.15;0.15
10;0.1;0.35;0.25;0.15;0.15
11;0.1;0.35;0.25;0.15;0.15
12;0.1005;0.35;0.2495;0.15;0.15
13;0.1005;0.35;0.2495;0.15;0.15
14;0.1005;0.35;0.2495;0.15;0.15
15;0.1005;0.35;0.2495;0.15;0.15
16;0.1005;0.35;0.2495;0.15;0.15
17;0.1005;0.35;0.2495;0.15;0.15
18;0.1005;0.35;0.2495;0.15;0.15
19;0.1005;0.35;0.2495;0.15;0.15
20;0.1005;0.35;0.2495;0.15;0.15
21;0.1015;0.35;0.2485;0.15;0.15
22;0.102;0.35;0.248;0.15;0.15
23;0.102;0.35;0.248;0.15;0.15
24;0.1015;0.35;0.2485;0.15;0.15
25;0.1015;0.35;0.2485;0.15;0.15
26;0.1015;0.35;0.2485;0.15;0.15
27;0.1015;0.35;0.2485;0.15;0.15
28;0.1015;0.35;0.2485;0.15;0.15
29;0.102;0.35;0.248;0.15;0.15
30;0.1025;0.35;0.2475;0.15;0.15
31;0.102;0.35;0.248;0.15;0.15
32;0.102;0.35;0.248;0.15;0.15
33;0.1015;0.35;0.2485;0.15;0.15
34;0.102;0.35;0.248;0.15;0.15
35;0.102;0.35;0.248;0.15;0.15
36;0.1015;0.35;0.2485;0.15;0.15
37;0.1015;0.35;0.2485;0.15;0.15
38;0.1015;0.35;0.2485;0.15;0.15
39;0.102;0.35;0.248;0.15;0.15
40;0.102;0.35;0.248;0.15;0.15
41;0.102;0.35;0.248;0.15;0.15
42;0.102;0.35;0.248;0.15;0.15
43;0.102;0.35;0.248;0.15;0.15
44;0.102;0.35;0.248;0.15;0.15
45;0.102;0.35;0.248;0.15;0.15
46;0.1025;0.35;0.2475;0.15;0.15
47;0.103;0.35;0.247;0.15;0.15
48;0.103;0.35;0.247;0.15;0.15
49;0.103;0.35;0.247;0.15;0.15
50;0.103;0.35;0.247;0.15;0.15
51;0.103;0.35;0.247;0.15;0.15
52;0.104;0.35;0.246;0.15;0.15
53;0.1035;0.35;0.2465;0.15;0.15
54;0.1035;0.35;0.2465;0.15;0.15
55;0.1045;0.35;0.2455;0.15;0.15
56;0.102;0.35;0.248;0.15;0.15
57;0.105;0.35;0.245;0.15;0.15
58;0.106;0.35;0.244;0.15;0.15
59;0.106;0.35;0.244;0.15;0.15
60;0.1075;0.35;0.2425;0.15;0.15
61;0.108;0.35;0.242;0.15;0.15
62;0.108;0.35;0.242;0.15;0.15
63;0.109;0.35;0.241;0.15;0.15
64;0.11;0.35;0.24;0.15;0.15
65;0.109;0.35;0.241;0.15;0.15
66;0.109;0.35;0.241;0.15;0.15
67;0.1095;0.35;0.2405;0.15;0.15
68;0.1095;0.35;0.2405;0.15;0.15
69;0.1085;0.35;0.2415;0.15;0.15
70;0.1095;0.35;0.2405;0.15;0.15
71;0.109;0.35;0.241;0.15;0.15
72;0.109;0.35;0.241;0.15;0.15
73;0.109;0.35;0.241;0.15;0.15
74;0.109;0.35;0.241;0.15;0.15
75;0.108;0.35;0.242;0.15;0.15
76;0.1085;0.35;0.2415;0.15;0.15
77;0.1095;0.35;0.2405;0.15;0.15
78;0.108;0.35;0.242;0.15;0.15
79;0.108;0.35;0.242;0.15;0.15
80;0.108;0.35;0.242;0.15;0.15
81;0.107;0.35;0.243;0.15;0.15
82;0.108;0.35;0.242;0.15;0.15
83;0.109;0.35;0.241;0.15;0.15
84;0.1095;0.35;0.2405;0.15;0.15
85;0.1085;0.35;0.2415;0.15;0.15
86;0.1085;0.35;0.2415;0.15;0.15
87;0.1095;0.35;0.2405;0.15;0.15
88;0.109;0.35;0.241;0.15;0.15
89;0.1105;0.35;0.2395;0.15;0.15
90;0.1095;0.35;0.2405;0.15;0.15
91;0.109;0.35;0.241;0.15;0.15
92;0.109;0.35;0.241;0.15;0.15
93;0.1095;0.35;0.2405;0.15;0.15
94;0.1095;0.35;0.2405;0.15;0.15
95;0.109;0.35;0.241;0.15;0.15
96;0.1095;0.35;0.2405;0.15;0.15
97;0.1105;0.35;0.2395;0.15;0.15
98;0.1105;0.35;0.2395;0.15;0.15
99;0.1115;0.35;0.2385;0.15;0.15
100;0.1125;0.35;0.2375;0.15;0.15
101;0.1125;0.35;0.2375;0.15;0.15
102;0.112;0.35;0.238;0.15;0.15
103;0.112;0.35;0.238;0.15;0.15
104;0.112;0.35;0.238;0.15;0.15
105;0.111;0.35;0.239;0.15;0.15
106;0.1095;0.35;0.2405;0.15;0.15
107;0.11;0.35;0.24;0.15;0.15
108;0.11;0.35;0.24;0.15;0.15
109;0.1095;0.35;0.2405;0.15;0.15
110;0.1105;0.35;0.2395;0.15;0.15
111;0.111;0.35;0.239;0.15;0.15
112;0.111;0.35;0.239;0.15;0.15
113;0.1115;0.35;0.2385;0.15;0.15
114;0.1115;0.35;0.2385;0.15;0.15
115;0.111;0.35;0.239;0.15;0.15
116;0.111;0.35;0.239;0.15;0.15
117;0.111;0.35;0.239;0.15;0.15
118;0.1105;0.35;0.2395;0.15;0.15
119;0.111;0.35;0.239;0.15;0.15
120;0.1105;0.35;0.2395;0.15;0.15
121;0.1105;0.35;0.2395;0.15;0.15
122;0.101;0.35;0.249;0.15;0.15
123;0.112;0.35;0.238;0.15;0.15
124;0.1115;0.35;0.2385;0.15;0.15
125;0.111;0.35;0.239;0.15;0.15
126;0.11;0.35;0.24;0.15;0.15
127;0.11;0.35;0.24;0.15;0.15
128;0.11;0.35;0.24;0.15;0.15
129;0.109;0.35;0.241;0.15;0.15
130;0.11;0.35;0.24;0.15;0.15
131;0.11;0.35;0.24;0.15;0.15
132;0.1105;0.35;0.2395;0.15;0.15
133;0.11;0.35;0.24;0.15;0.15
134;0.1105;0.35;0.2395;0.15;0.15
135;0.1105;0.35;0.2395;0.15;0.15
136;0.1105;0.35;0.2395;0.15;0.15
137;0.1105;0.35;0.2395;0.15;0.15
138;0.111;0.35;0.239;0.15;0.15
139;0.1;0.35;0.25;0.15;0.15
140;0.1115;0.35;0.2385;0.15;0.15
141;0.1115;0.35;0.2385;0.15;0.15
142;0.111;0.35;0.239;0.15;0.15
143;0.111;0.35;0.239;0.15;0.15
144;0.111;0.35;0.239;0.15;0.15
145;0.1105;0.35;0.2395;0.15;0.15
146;0.1115;0.35;0.2385;0.15;0.15
147;0.112;0.35;0.238;0.15;0.15
148;0.1125;0.35;0.2375;0.15;0.15
149;0.1125;0.35;0.2375;0.15;0.15
150;0.113;0.35;0.237;0.15;0.15
151;0.1125;0.35;0.2375;0.15;0.15
152;0.113;0.35;0.237;0.15;0.15
153;0.113;0.35;0.237;0.15;0.15
154;0.1135;0.35;0.2365;0.15;0.15
155;0.113;0.35;0.237;0.15;0.15
156;0.1125;0.35;0.2375;0.15;0.15
157;0.113;0.35;0.237;0.15;0.15
158;0.113;0.35;0.237;0.15;0.15
159;0.113;0.35;0.237;0.15;0.15
160;0.113;0.35;0.237;0.15;0.15
161;0.1125;0.35;0.2375;0.15;0.15
162;0.112;0.35;0.238;0.15;0.15
163;0.112;0.35;0.238;0.15;0.15
164;0.1125;0.35;0.2375;0.15;0.15
165;0.1125;0.35;0.2375;0.15;0.15
166;0.1125;0.35;0.2375;0.15;0.15
167;0.113;0.35;0.237;0.15;0.15
168;0.113;0.35;0.237;0.15;0.15
169;0.113;0.35;0.237;0.15;0.15
170;0.114;0.35;0.236;0.15;0.15
171;0.114;0.35;0.236;0.15;0.15
172;0.1135;0.35;0.2365;0.15;0.15
173;0.1145;0.35;0.2355;0.15;0.15
174;0.1145;0.35;0.2355;0.15;0.15
175;0.1145;0.35;0.2355;0.15;0.15
176;0.1145;0.35;0.2355;0.15;0.15
177;0.114;0.35;0.236;0.15;0.15
178;0.114;0.35;0.236;0.15;0.15
179;0.1135;0.35;0.2365;0.15;0.15
180;0.1135;0.35;0.2365;0.15;0.15
181;0.1135;0.35;0.2365;0.15;0.15
182;0.114;0.35;0.236;0.15;0.15
183;0.1145;0.35;0.2355;0.15;0.15
184;0.1145;0.35;0.2355;0.15;0.15
185;0.1145;0.35;0.2355;0.15;0.15
186;0.114;0.35;0.236;0.15;0.15
187;0.1145;0.35;0.2355;0.15;0.15
188;0.114;0.35;0.236;0.15;0.15
189;0.1145;0.35;0.2355;0.15;0.15
190;0.1145;0.35;0.2355;0.15;0.15
191;0.1145;0.35;0.2355;0.15;0.15
192;0.1145;0.35;0.2355;0.15;0.15
193;0.114;0.35;0.236;0.15;0.15
194;0.1145;0.35;0.2355;0.15;0.15
195;0.1145;0.35;0.2355;0.15;0.15
196;0.114;0.35;0.236;0.15;0.15
197;0.114;0.35;0.236;0.15;0.15
198;0.114;0.35;0.236;0.15;0.15
199;0.113;0.35;0.237;0.15;0.15
200;0.113;0.35;0.237;0.15;0.15
201;0.113;0.35;0.237;0.15;0.15
202;0.1125;0.35;0.2375;0.15;0.15
203;0.1125;0.35;0.2375;0.15;0.15
204;0.1135;0.35;0.2365;0.15;0.15
205;0.113;0.35;0.237;0.15;0.15
206;0.1145;0.35;0.2355;0.15;0.15
207;0.1145;0.35;0.2355;0.15;0.15
208;0.114;0.35;0.236;0.15;0.15
209;0.1125;0.35;0.2375;0.15;0.15
210;0.112;0.35;0.238;0.15;0.15
211;0.113;0.35;0.237;0.15;0.15
212;0.113;0.35;0.237;0.15;0.15
213;0.112;0.35;0.238;0.15;0.15
214;0.1125;0.35;0.2375;0.15;0.15
215;0.113;0.35;0.237;0.15;0.15
216;0.114;0.35;0.236;0.15;0.15
217;0.113;0.35;0.237;0.15;0.15
218;0.113;0.35;0.237;0.15;0.15
219;0.113;0.35;0.237;0.15;0.15
220;0.1125;0.35;0.2375;0.15;0.15
221;0.1125;0.35;0.2375;0.15;0.15
222;0.112;0.35;0.238;0.15;0.15
223;0.11;0.35;0.24;0.15;0.15
224;0.1095;0.35;0.2405;0.15;0.15
225;0.1095;0.35;0.2405;0.15;0.15
226;0.11;0.35;0.24;0.15;0.15
227;0.11;0.35;0.24;0.15;0.15
228;0.111;0.35;0.239;0.15;0.15
229;0.101;0.35;0.249;0.15;0.15
230;0.1115;0.35;0.2385;0.15;0.15
231;0.111;0.35;0.239;0.15;0.15
232;0.1105;0.35;0.2395;0.15;0.15
233;0.1015;0.35;0.2485;0.15;0.15
234;0.11;0.35;0.24;0.15;0.15
235;0.11;0.35;0.24;0.15;0.15
236;0.1105;0.35;0.2395;0.15;0.15
237;0.1105;0.35;0.2395;0.15;0.15
238;0.111;0.35;0.239;0.15;0.15
239;0.1115;0.35;0.2385;0.15;0.15
240;0.1115;0.35;0.2385;0.15;0.15
241;0.1115;0.35;0.2385;0.15;0.15
242;0.1115;0.35;0.2385;0.15;0.15
243;0.1115;0.35;0.2385;0.15;0.15
244;0.1115;0.35;0.2385;0.15;0.15
245;0.112;0.35;0.238;0.15;0.15
246;0.112;0.35;0.238;0.15;0.15
247;0.1145;0.35;0.2355;0.15;0.15
248;0.1145;0.35;0.2355;0.15;0.15
249;0.1145;0.35;0.2355;0.15;0.15
250;0.114;0.35;0.236;0.15;0.15
251;0.1135;0.35;0.2365;0.15;0.15
252;0.114;0.35;0.236;0.15;0.15
253;0.1135;0.35;0.2365;0.15;0.15
254;0.114;0.35;0.236;0.15;0.15
255;0.114;0.35;0.236;0.15;0.15
256;0.1145;0.35;0.2355;0.15;0.15
257;0.115;0.35;0.235;0.15;0.15
258;0.1155;0.35;0.2345;0.15;0.15
259;0.116;0.35;0.234;0.15;0.15
260;0.1145;0.35;0.2355;0.15;0.15
261;0.114;0.35;0.236;0.15;0.15
262;0.114;0.35;0.236;0.15;0.15
263;0.114;0.35;0.236;0.15;0.15
264;0.1145;0.35;0.2355;0.15;0.15
265;0.1155;0.35;0.2345;0.15;0.15
266;0.116;0.35;0.234;0.15;0.15
267;0.1155;0.35;0.2345;0.15;0.15
268;0.114;0.35;0.236;0.15;0.15
269;0.114;0.35;0.236;0.15;0.15
270;0.114;0.35;0.236;0.15;0.15
271;0.115;0.35;0.235;0.15;0.15
272;0.115;0.35;0.235;0.15;0.15
273;0.115;0.35;0.235;0.15;0.15
274;0.115;0.35;0.235;0.15;0.15
275;0.115;0.35;0.235;0.15;0.15
276;0.1135;0.35;0.2365;0.15;0.15
277;0.114;0.35;0.236;0.15;0.15
278;0.115;0.35;0.235;0.15;0.15
279;0.114;0.35;0.236;0.15;0.15
280;0.114;0.35;0.236;0.15;0.15
281;0.114;0.35;0.236;0.15;0.15
282;0.1145;0.35;0.2355;0.15;0.15
283;0.114;0.35;0.236;0.15;0.15
284;0.114;0.35;0.236;0.15;0.15
285;0.1165;0.35;0.2335;0.15;0.15
286;0.117;0.35;0.233;0.15;0.15
287;0.1175;0.35;0.2325;0.15;0.15
288;0.117;0.35;0.233;0.15;0.15
289;0.1175;0.35;0.2325;0.15;0.15
290;0.1175;0.35;0.2325;0.15;0.15
291;0.117;0.35;0.233;0.15;0.15
292;0.1165;0.35;0.2335;0.15;0.15
293;0.1165;0.35;0.2335;0.15;0.15
294;0.1165;0.35;0.2335;0.15;0.15
295;0.116;0.35;0.234;0.15;0.15
296;0.1155;0.35;0.2345;0.15;0.15
297;0.116;0.35;0.234;0.15;0.15
298;0.1175;0.35;0.2325;0.15;0.15
299;0.117;0.35;0.233;0.15;0.15
300;0.117;0.35;0.233;0.15;0.15
301;0.1165;0.35;0.2335;0.15;0.15
302;0.117;0.35;0.233;0.15;0.15
303;0.116;0.35;0.234;0.15;0.15
304;0.116;0.35;0.234;0.15;0.15
305;0.116;0.35;0.234;0.15;0.15
306;0.115;0.35;0.235;0.15;0.15
307;0.115;0.35;0.235;0.15;0.15
308;0.115;0.35;0.235;0.15;0.15
309;0.115;0.35;0.235;0.15;0.15
310;0.1145;0.35;0.2355;0.15;0.15
311;0.1155;0.35;0.2345;0.15;0.15
312;0.1155;0.35;0.2345;0.15;0.15
313;0.1175;0.35;0.2325;0.15;0.15
314;0.1155;0.35;0.2345;0.15;0.15
315;0.1165;0.35;0.2335;0.15;0.15
316;0.1175;0.35;0.2325;0.15;0.15
317;0.117;0.35;0.233;0.15;0.15
318;0.117;0.35;0.233;0.15;0.15
319;0.1175;0.35;0.2325;0.15;0.15
320;0.1175;0.35;0.2325;0.15;0.15
321;0.1175;0.35;0.2325;0.15;0.15
322;0.117;0.35;0.233;0.15;0.15
323;0.1175;0.35;0.2325;0.15;0.15
324;0.1165;0.35;0.2335;0.15;0.15
325;0.1165;0.35;0.2335;0.15;0.15
326;0.1175;0.35;0.2325;0.15;0.15
327;0.117;0.35;0.233;0.15;0.15
328;0.117;0.35;0.233;0.15;0.15
329;0.1175;0.35;0.2325;0.15;0.15
330;0.1175;0.35;0.2325;0.15;0.15
331;0.117;0.35;0.233;0.15;0.15
332;0.1165;0.35;0.2335;0.15;0.15
333;0.117;0.35;0.233;0.15;0.15
334;0.1165;0.35;0.2335;0.15;0.15
335;0.1175;0.35;0.2325;0.15;0.15
336;0.117;0.35;0.233;0.15;0.15
337;0.1165;0.35;0.2335;0.15;0.15
338;0.117;0.35;0.233;0.15;0.15
339;0.116;0.35;0.234;0.15;0.15
340;0.1165;0.35;0.2335;0.15;0.15
341;0.116;0.35;0.234;0.15;0.15
