node 1;node 2;node 3;node 4;node 5
93;93;80;88;87
93;92;80;88;87
93;92;80;88;87
92;92;80;87;87
92;91;80;87;87
92;91;80;87;87
91;91;80;87;86
91;90;79;87;86
91;90;79;87;86
91;90;79;87;86
91;90;79;87;85
91;90;79;87;85
91;90;79;87;85
91;90;79;87;85
91;90;79;87;85
91;90;79;87;85
91;90;79;87;85
90;90;79;87;85
90;90;79;87;85
90;90;79;87;85
90;90;79;87;85
90;90;79;87;85
89;90;79;87;85
89;90;79;87;85
89;90;79;87;85
89;90;79;87;85
89;90;79;87;85
89;90;79;87;85
89;90;79;87;85
89;90;79;87;85
89;90;79;87;85
89;90;79;87;85
89;90;79;87;85
89;90;79;87;85
89;90;79;87;85
89;90;79;87;85
89;90;79;87;85
89;90;79;87;85
89;90;79;87;85
89;90;79;86;85
89;90;79;86;85
89;90;79;86;85
89;90;79;86;85
89;90;79;86;85
88;90;79;86;85
88;90;79;86;85
88;90;79;86;85
88;90;79;86;85
88;90;78;86;85
88;90;78;86;85
88;90;78;86;85
88;90;78;86;85
88;90;77;86;85
88;90;77;86;85
88;90;77;86;85
88;90;77;86;85
88;90;77;86;85
88;90;77;86;85
88;89;77;86;85
88;89;77;86;85
88;89;77;86;84
88;89;76;86;84
88;89;76;86;84
88;89;76;86;84
88;89;76;86;84
88;89;76;86;84
88;89;76;86;84
87;89;76;86;84
87;89;76;86;84
87;89;75;85;84
87;89;75;85;84
86;89;75;85;84
86;89;75;85;84
86;89;75;85;84
86;89;75;85;84
86;89;75;85;83
86;89;75;85;83
86;89;75;85;83
86;89;75;85;83
86;89;75;85;82
85;89;75;85;82
85;89;75;85;82
85;89;75;85;82
85;89;75;85;82
85;89;75;85;82
85;89;75;85;82
85;89;75;85;82
83;89;75;85;82
83;89;75;85;82
83;89;75;85;82
83;89;75;85;82
83;89;74;85;82
83;89;74;85;82
83;89;74;85;82
83;89;74;85;82
82;89;74;85;82
82;89;74;84;81
82;89;74;84;81
82;89;74;84;81
82;89;74;84;81
82;89;74;84;80
81;89;74;84;80
81;89;74;84;80
80;89;74;84;80
80;89;74;84;80
80;89;74;84;80
80;88;73;84;80
80;88;72;84;80
80;88;72;84;80
80;88;72;84;80
80;88;72;84;80
79;88;72;84;80
79;88;72;84;80
79;88;72;84;79
79;88;72;84;79
79;88;72;84;79
79;88;72;84;79
79;88;72;84;78
79;88;72;84;77
79;87;72;83;77
79;87;72;83;77
79;87;72;83;77
79;87;72;83;77
79;85;72;83;77
79;85;72;83;77
79;85;72;83;77
79;85;72;83;77
79;85;71;83;77
79;85;71;83;77
79;85;71;83;77
79;85;71;82;77
79;85;71;82;77
79;85;71;82;77
79;85;71;82;77
79;85;71;82;77
79;85;71;82;77
79;85;71;82;77
79;85;71;82;77
79;85;71;82;76
79;84;71;82;76
79;84;71;82;76
79;84;71;82;76
79;84;71;82;76
79;84;71;82;76
79;84;71;82;76
79;84;71;82;76
79;84;71;82;75
79;84;71;82;75
79;84;71;82;75
79;84;70;82;75
79;84;70;82;75
78;84;70;82;75
78;84;70;81;74
78;84;70;81;74
78;84;70;81;74
78;84;70;81;74
78;84;70;80;74
78;84;70;80;74
78;84;70;80;74
78;84;70;80;74
78;84;70;80;74
78;84;70;80;74
78;84;70;80;74
78;84;70;80;74
78;84;70;80;74
78;84;70;80;74
78;84;70;80;74
78;84;69;80;74
78;84;69;80;73
78;84;69;80;73
78;84;69;80;73
78;84;69;80;73
78;84;69;80;73
78;84;69;80;73
78;84;69;80;72
78;84;69;80;72
78;84;69;80;72
78;83;69;80;72
78;83;69;79;72
78;83;69;79;71
78;83;69;78;71
78;83;69;78;71
78;83;69;78;71
78;83;69;78;70
78;83;69;78;70
78;83;69;78;70
78;83;69;78;70
78;83;69;77;70
78;83;69;77;70
78;83;69;77;70
78;83;69;77;70
78;83;69;77;70
78;83;69;77;70
78;83;69;77;69
78;83;69;77;69
78;83;69;77;69
78;83;69;77;68
78;83;69;77;68
78;83;69;77;68
78;83;69;77;68
78;83;69;77;68
78;83;69;77;68
78;83;69;77;68
78;83;69;77;68
78;83;69;77;68
78;83;69;77;68
78;83;69;77;68
78;83;69;76;68
78;83;69;76;68
78;83;69;76;68
78;83;69;76;67
78;83;69;76;67
78;83;69;76;66
78;83;69;76;66
78;83;69;76;66
78;83;69;76;66
78;83;69;76;66
78;83;69;76;66
78;83;69;76;66
78;83;69;76;66
78;83;69;75;66
78;82;69;74;66
78;82;69;74;66
78;82;69;74;66
78;82;69;74;66
78;82;69;74;66
78;82;69;74;66
78;82;69;74;66
78;82;69;74;66
78;82;69;74;66
78;82;69;74;66
78;82;69;74;66
78;82;69;74;66
78;82;69;74;66
78;82;69;74;66
78;82;68;74;66
78;82;68;74;66
78;82;68;74;66
78;82;68;74;66
78;82;68;74;66
78;82;68;74;66
78;82;68;74;66
78;82;67;74;66
78;82;67;74;66
78;81;67;73;66
78;80;67;73;65
78;80;67;73;65
78;80;67;73;65
78;80;67;72;65
78;80;67;72;65
78;79;67;72;65
78;79;67;71;65
78;79;67;70;65
78;79;67;70;65
78;79;67;70;65
78;79;67;70;65
78;79;67;70;65
78;79;66;70;65
78;79;66;70;64
78;78;66;70;64
78;78;65;70;64
78;78;65;69;64
78;78;65;69;64
78;78;65;69;64
78;78;65;69;63
78;78;65;69;63
78;78;65;69;63
78;78;65;69;63
78;78;65;69;63
78;78;65;69;63
78;78;64;69;63
78;78;64;69;63
78;78;64;69;62
78;78;64;69;62
78;78;63;69;62
78;78;63;68;62
78;78;63;67;62
78;78;63;67;62
77;78;63;67;62
77;78;63;67;62
77;78;63;66;62
77;78;63;66;62
77;78;63;66;62
77;78;63;66;62
77;78;63;65;62
77;78;63;65;62
77;78;63;65;61
77;78;63;65;61
76;78;63;65;61
76;78;63;65;61
75;78;63;65;61
75;78;63;65;61
75;77;63;65;61
75;77;63;65;60
75;77;63;65;59
75;76;63;65;59
74;76;63;65;58
74;76;63;65;58
74;76;63;64;58
74;76;63;64;58
74;76;63;63;58
74;76;63;63;58
74;76;63;63;58
74;76;63;63;58
74;76;63;62;57
74;76;63;62;57
74;76;63;62;57
74;76;63;61;57
74;76;63;60;57
74;76;63;60;57
74;76;63;60;57
74;76;63;60;57
74;76;63;60;57
74;76;63;60;57
73;76;63;60;57
73;76;63;60;57
73;76;63;60;57
73;76;63;60;57
73;76;63;60;57
73;76;63;60;57
73;76;63;60;56
73;76;63;60;55
73;76;63;60;55
73;76;63;60;55
73;76;63;60;55
72;76;63;59;55
72;76;63;59;54
72;76;63;59;54
72;76;63;59;54
72;76;62;59;54
72;76;62;59;54
72;76;62;59;54
72;76;62;59;54
72;76;62;59;54
72;75;61;59;54
72;75;61;59;53
72;75;61;59;52
72;75;61;59;52
72;75;61;59;52
72;75;61;59;52
72;75;61;59;52
72;75;61;59;52
72;75;61;59;52
72;75;61;58;52
72;75;61;58;52
72;75;61;58;52
72;75;61;58;51
71;75;61;58;51
71;75;61;58;51
71;75;61;58;51
71;75;61;58;51
71;75;61;58;51
71;75;61;58;51
71;75;61;58;51
71;75;61;58;51
71;75;61;58;51
71;75;61;58;51
71;75;61;58;51
71;75;61;58;51
71;75;61;58;51
71;75;61;58;51
71;75;61;58;51
71;75;61;58;51
71;75;61;58;51
71;75;60;58;50
71;75;60;58;50
71;75;60;57;50
71;75;60;57;50
71;75;60;57;50
71;75;60;57;50
71;75;60;57;50
71;75;60;57;50
71;75;60;57;50
71;75;60;57;50
70;74;60;57;50
70;73;60;57;50
69;73;60;57;50
69;73;60;56;50
69;73;60;56;50
69;73;60;56;50
69;73;60;56;49
69;73;60;56;49
69;73;60;56;49
69;73;60;56;48
69;73;60;56;48
69;73;60;56;48
69;73;60;56;48
69;73;60;56;48
69;73;60;56;48
69;73;60;56;48
69;73;60;56;48
69;73;60;56;48
69;73;60;55;48
69;73;60;55;48
69;73;60;54;48
69;73;60;54;48
69;73;59;54;48
69;73;59;54;48
69;73;59;54;48
69;73;59;54;48
69;73;59;54;48
69;73;59;54;48
69;73;59;54;48
69;73;59;54;47
69;73;59;54;47
69;73;59;53;47
69;73;59;53;47
69;73;59;53;47
69;73;59;53;47
69;73;59;53;47
69;73;59;53;47
69;73;59;53;47
69;73;59;53;47
69;73;59;53;47
69;73;59;53;47
68;73;59;53;47
68;73;59;53;47
68;73;59;53;47
68;73;59;53;47
68;73;59;53;47
68;73;59;53;47
68;73;59;53;47
68;73;59;53;47
68;73;59;53;47
68;73;59;53;47
68;73;59;53;47
68;73;59;53;46
68;73;59;53;46
68;73;59;53;46
68;73;59;53;46
68;73;59;53;46
68;73;59;53;46
68;73;59;53;46
68;73;59;53;46
68;73;59;52;45
67;73;59;52;45
67;72;59;52;45
67;72;59;52;45
67;72;59;52;45
67;72;59;52;45
66;72;59;52;44
66;72;59;52;44
66;72;59;52;44
66;72;59;52;44
66;72;58;52;44
66;72;58;52;43
66;72;58;52;43
66;71;58;52;43
66;71;58;52;43
66;71;58;52;43
66;71;58;52;43
66;71;58;52;42
66;71;58;52;41
66;71;58;52;41
66;71;58;52;41
66;71;58;52;41
66;71;58;52;40
66;71;58;52;40
66;71;58;52;40
66;71;58;52;40
66;71;58;52;39
65;71;58;52;39
65;71;58;52;39
65;71;58;52;39
65;71;58;52;39
65;71;58;52;39
65;71;57;52;39
65;71;56;52;38
65;71;56;51;38
65;71;56;51;38
65;71;56;51;38
65;71;56;51;38
65;71;56;51;38
65;71;56;51;38
65;71;56;51;38
65;71;56;51;38
65;71;56;50;38
65;71;56;50;38
65;71;56;50;37
65;71;56;50;37
65;71;56;49;37
64;71;56;49;37
64;71;56;49;37
64;71;56;49;37
64;71;56;49;37
64;71;56;49;36
64;71;56;49;36
64;71;56;49;36
64;71;56;49;35
64;71;56;49;35
64;71;56;49;35
