node 1;node 2;node 3;node 4;node 5
84;2048;228;717;92
84;2048;228;727;92
84;2048;230;850;92
87;2007;202;881;92
87;2007;192;881;92
87;2007;192;860;92
87;1987;192;860;92
87;1946;207;768;91
82;1946;195;778;91
81;1946;195;778;79
77;1946;202;840;82
67;1864;218;840;82
67;1577;205;840;82
76;1618;205;840;81
93;1618;202;829;84
95;1905;202;819;84
108;1905;202;840;108
108;1802;195;840;113
108;1679;210;891;109
116;1126;223;922;111
116;1167;218;922;111
115;963;218;922;114
110;963;218;922;113
110;963;195;922;90
110;963;195;860;90
110;963;202;860;90
110;963;210;860;90
110;963;210;860;88
110;963;210;829;88
115;963;210;686;88
115;1024;210;676;88
106;1024;218;676;78
106;1372;218;727;78
108;1454;218;748;79
108;1516;218;748;79
110;1516;218;748;79
110;1597;218;748;73
104;1597;215;737;73
104;1597;215;758;73
104;1884;215;758;69
101;1864;200;758;69
100;1802;200;758;69
100;1802;189;625;65
100;1802;200;625;69
100;1802;220;625;69
92;1761;212;625;64
90;1761;205;625;64
92;1761;205;625;64
92;1761;205;625;64
82;1761;205;625;64
86;1761;207;625;64
86;1761;207;635;64
86;1761;192;666;60
84;1761;207;666;60
83;1761;207;666;63
83;1761;207;696;67
79;1659;207;727;60
79;1761;205;727;60
79;1761;205;717;56
55;1741;205;717;55
55;1311;205;748;55
52;1331;205;901;55
49;1413;207;901;55
49;1413;177;901;50
45;1577;184;901;50
40;1597;184;860;41
49;1597;205;860;41
49;1597;218;840;28
49;1597;218;840;28
49;1618;220;840;28
59;1536;220;840;19
65;1536;218;840;19
79;1536;218;840;29
79;1679;218;840;32
79;1659;218;840;32
63;1659;218;840;32
63;1659;210;840;32
63;1659;228;840;32
63;1659;228;840;32
63;1679;228;809;32
63;1679;228;829;32
73;1577;228;809;32
73;1638;228;829;31
73;1638;218;819;29
73;1720;218;850;29
73;1720;218;850;35
73;1679;195;850;35
73;1679;195;829;42
70;1679;202;778;42
70;1679;202;778;41
69;1679;202;778;41
68;1761;212;799;37
69;1782;212;799;37
69;1679;212;799;38
69;1679;212;819;38
69;1679;197;911;38
73;1679;197;942;38
73;1679;197;942;38
76;1679;220;932;42
72;1679;220;911;32
72;1679;220;911;32
67;1679;220;911;32
67;1413;220;911;32
67;1413;205;911;32
67;1413;207;932;32
68;1413;207;901;59
65;1413;207;901;56
65;1352;207;891;56
64;1454;215;922;58
64;1454;215;922;58
68;1454;212;911;58
68;1638;212;829;56
68;1679;212;829;56
68;1823;192;829;58
68;1823;192;829;58
69;1823;192;829;58
65;1823;192;768;67
65;1782;179;788;67
65;1782;195;788;86
65;1782;200;717;81
65;1700;200;727;81
58;1659;207;727;79
58;1516;207;778;79
61;1577;207;778;79
61;1577;207;809;84
61;1577;207;768;77
61;1720;207;799;77
67;1720;207;799;77
67;1720;195;799;70
55;1475;195;788;74
55;1597;195;840;74
55;1761;210;809;74
55;1761;210;809;79
55;1679;207;809;79
55;1249;207;809;72
56;1249;207;809;68
56;1331;187;809;70
56;1331;200;809;67
69;1331;210;809;54
69;1331;184;809;54
59;1331;184;809;54
60;1393;182;809;54
64;1372;182;809;54
51;1372;197;788;51
52;1372;197;799;63
52;1434;197;799;68
52;1434;197;799;65
52;1434;192;809;65
52;1475;192;850;72
50;1475;192;788;88
50;1516;184;799;88
47;1516;184;758;82
46;1597;212;758;82
42;1597;205;727;81
42;1597;205;768;65
36;1597;205;768;67
36;1597;205;819;63
36;1597;205;860;63
36;1782;205;952;61
36;1782;205;952;56
29;1741;212;993;55
29;1741;207;973;55
23;1659;220;973;55
19;1659;218;973;58
19;1659;200;973;55
18;1659;220;963;55
15;1556;220;963;55
15;1556;212;963;42
15;1536;212;993;42
15;1536;212;993;47
14;1536;212;993;47
14;1516;212;983;47
17;1516;212;963;63
17;1331;179;963;63
17;1393;179;963;61
17;1393;179;963;61
17;1393;179;922;55
17;1393;179;911;55
17;1393;179;911;50
22;1393;179;881;55
24;1393;179;850;58
24;1393;169;809;58
22;1516;177;860;58
18;1516;177;860;58
18;1516;200;860;58
18;1516;212;860;58
18;1536;212;860;52
18;1618;200;860;55
14;1618;200;778;55
14;1618;200;809;55
10;1618;200;809;55
10;1618;210;809;59
15;1618;210;819;59
15;1864;210;860;59
15;1864;210;860;60
19;1864;210;829;60
19;1843;210;829;64
14;1843;210;819;58
3;1905;210;881;58
3;1905;195;881;56
3;1905;197;881;56
3;1884;197;758;49
3;1577;197;850;49
3;1638;197;850;38
3;1536;197;881;38
27;1495;197;819;38
27;1495;220;819;38
27;1495;205;819;38
41;1495;205;942;37
41;1536;205;942;27
44;1597;218;881;14
54;1659;212;881;5
56;1679;212;881;4
56;1679;212;881;4
56;1679;200;881;0
56;1372;212;881;0
58;1372;197;881;1
58;1249;218;881;5
52;1352;218;840;5
56;1352;218;696;5
56;1352;218;788;13
56;1352;200;788;13
56;1556;207;788;13
56;1577;207;778;13
59;1577;197;778;8
59;1577;207;778;8
59;1577;207;788;4
59;1495;207;829;3
63;1516;200;829;3
63;1516;200;778;3
58;1556;200;778;3
58;1556;200;778;1
58;1556;200;819;1
58;1577;197;819;1
58;1638;200;840;1
54;1536;205;840;0
54;1536;205;840;0
55;1638;205;829;0
51;1638;205;860;0
49;1700;205;860;3
56;1700;205;860;3
60;1679;207;850;9
59;1679;200;840;10
59;1679;200;840;14
59;1679;200;840;14
59;1679;200;840;12
61;1597;200;840;5
61;1741;205;717;14
60;1741;205;799;12
60;1741;205;799;12
59;1741;205;809;15
40;1741;205;819;15
38;1577;210;911;15
38;1577;230;778;15
29;1782;230;778;15
27;1761;228;778;15
27;1720;228;778;14
27;1720;225;748;14
36;1700;223;758;14
36;1700;233;850;8
36;1700;233;840;8
36;1700;233;840;1
36;1536;228;860;5
36;1536;228;778;5
33;1536;210;788;5
33;1577;182;799;5
27;1577;182;799;5
27;1618;182;809;5
27;1536;197;809;5
27;1536;197;840;3
27;1659;197;840;3
20;1638;202;840;3
20;1638;205;829;3
20;1638;225;881;4
20;1761;225;881;4
20;1761;225;870;4
13;1761;225;870;19
12;1761;225;870;12
3;1761;205;829;14
3;1761;205;829;13
3;1884;205;829;13
0;1802;205;829;13
1;1802;212;829;18
1;1782;202;840;14
1;1720;202;870;14
1;1720;248;870;14
1;1720;248;870;14
5;1720;248;870;13
5;1720;220;870;15
5;1700;220;860;23
5;1495;220;850;23
4;1454;225;840;20
4;1495;225;840;18
4;1741;225;778;18
4;1700;215;778;18
1;1700;220;809;15
1;1700;220;809;15
1;1638;220;809;3
1;1638;220;809;4
1;1638;220;952;4
3;1700;220;952;4
12;1618;241;952;4
12;1618;238;952;4
5;1454;238;952;3
5;1454;228;676;4
5;1454;228;676;4
0;1454;228;676;4
0;1454;182;676;4
1;1454;182;758;4
3;1516;195;758;1
3;1638;195;819;1
5;1659;195;819;1
5;1393;195;819;1
5;1393;197;819;1
5;1393;172;881;9
5;1393;172;891;10
5;1413;182;881;3
5;1618;182;860;3
5;1618;192;850;4
1;1618;192;850;5
3;1618;205;860;10
1;1618;205;840;17
0;1659;205;840;12
3;1659;189;840;12
3;1659;189;840;12
3;1618;189;758;13
4;1618;189;758;14
4;1700;243;768;14
4;1597;241;768;0
3;1597;243;768;0
3;1597;251;768;3
4;1597;246;768;5
6;1884;246;737;5
3;1884;246;819;8
3;1884;243;819;8
4;1946;243;778;13
4;1925;238;881;13
4;1925;233;881;6
1;1966;233;829;6
5;1966;233;829;6
4;1966;230;799;6
4;2007;225;799;6
1;2007;225;788;5
6;2007;218;788;4
6;1946;200;788;4
10;2028;200;788;4
5;2028;202;788;4
6;2028;202;768;4
4;2028;205;768;6
1;2028;205;809;6
1;2028;205;840;6
1;1864;207;840;6
1;1720;210;840;4
1;1720;207;819;1
1;1577;207;819;0
0;1659;207;819;3
0;1679;207;870;3
0;1679;207;829;3
0;1659;207;819;3
0;1741;207;819;3
0;1741;207;819;0
13;1741;207;819;0
13;1741;207;819;1
13;1741;207;840;3
13;1741;218;840;12
13;1597;218;829;13
13;1597;205;829;12
13;1679;205;829;12
13;1638;205;829;12
13;1638;205;788;12
13;1659;205;788;12
1;1659;205;788;9
1;1454;215;788;9
1;1556;215;788;0
0;1536;215;819;3
0;1434;215;922;3
0;1434;215;922;3
0;1454;212;922;3
0;1475;212;881;3
4;1475;228;881;6
4;1434;220;840;4
4;1434;220;840;4
6;1434;207;840;10
6;1434;207;840;10
6;1434;200;829;0
14;1434;205;778;5
14;1434;212;829;5
14;1434;212;829;1
6;1434;225;829;1
8;1454;225;829;1
5;1454;225;829;1
5;1495;228;860;1
5;1495;220;860;1
3;1659;220;860;1
3;1597;195;860;5
3;1597;195;829;5
4;1556;197;758;5
4;1556;210;758;5
4;1618;202;799;1
5;1679;202;799;1
5;1679;202;809;1
5;1679;200;809;1
5;1597;189;809;12
8;1597;189;809;12
8;1475;189;850;12
8;1597;189;850;6
9;1597;189;737;1
9;1597;195;748;1
1;1782;195;778;0
1;1700;195;778;0
1;1700;195;778;0
8;1700;197;748;0
8;1679;192;748;4
8;1679;212;870;4
15;1597;202;891;4
23;1597;202;809;9
24;1659;207;809;1
26;1659;248;809;3
27;1638;243;809;3
31;1638;243;809;3
31;1638;215;778;5
31;1638;215;850;5
31;1638;205;932;5
29;1597;205;911;0
29;1925;205;911;0
29;1925;205;911;0
29;1925;210;829;4
32;1925;210;829;4
32;1495;210;829;4
32;1556;210;829;1
32;1597;210;829;0
32;1556;207;829;5
32;1556;207;911;5
32;1454;205;911;5
29;1454;205;911;5
27;1577;207;901;8
27;1577;207;891;8
26;1577;207;881;8
32;1577;192;881;10
32;1597;184;881;10
32;1618;184;799;10
33;1638;184;758;13
33;1638;184;758;4
33;1638;195;788;4
33;1679;195;819;6
35;1679;195;819;15
33;1700;197;819;12
33;1700;197;819;12
32;1700;197;819;12
32;1700;197;860;18
32;1700;197;860;23
32;1700;197;860;23
28;1679;200;860;33
9;1618;200;809;40
9;1618;200;809;36
9;1618;210;809;46
9;1741;207;809;37
8;1638;207;850;33
8;1638;207;829;26
6;1638;207;829;24
5;1659;207;840;10
5;1495;207;840;10
5;1495;210;840;10
5;1495;182;840;6
5;1679;187;840;6
5;1679;189;840;10
5;1597;207;799;9
4;1597;207;799;18
3;1659;223;799;18
3;1659;215;799;14
1;1618;207;799;14
1;1618;205;748;12
1;1638;248;860;17
1;1638;248;860;23
1;1638;248;860;23
1;1679;248;891;23
1;1679;243;860;19
1;1679;243;860;19
1;1679;243;860;22
1;1679;236;860;23
4;1679;230;840;23
4;1679;230;829;23
3;1679;223;829;23
3;1700;223;758;23
3;1618;223;727;23
3;1618;223;727;13
3;1618;223;737;13
5;1618;223;819;13
0;1618;223;860;8
0;1618;223;645;5
5;1659;210;645;5
5;1659;210;645;23
6;1659;210;645;23
6;1475;207;645;12
1;1352;205;594;9
1;1352;200;594;9
1;1290;200;614;9
1;1290;246;645;9
4;1290;246;645;12
4;1290;241;614;12
9;1393;241;707;12
9;1393;230;717;17
9;1393;230;717;17
9;1372;228;727;19
8;1352;228;727;23
8;1372;223;748;23
8;1434;218;748;18
9;1434;218;748;14
9;1454;210;768;15
