node 1;node 2;node 3;node 4;node 5
65;82;68;62;66
65;82;68;62;66
65;82;68;62;66
65;82;68;62;66
65;82;68;62;66
99;94;96;99;91
99;94;96;99;91
99;94;96;99;91
99;94;96;99;91
99;94;96;99;91
84;100;94;56;70
84;100;94;56;70
84;100;94;56;70
84;100;94;56;70
84;100;94;56;70
94;84;93;97;87
94;84;93;97;87
94;84;93;97;87
94;84;93;97;87
94;84;93;97;87
82;89;95;32;61
82;89;95;32;61
82;89;95;32;61
82;89;95;32;61
82;89;95;32;61
90;74;84;98;91
90;74;84;98;91
90;74;84;98;91
90;74;84;98;91
90;74;84;98;91
83;90;98;22;63
83;90;98;22;63
83;90;98;22;63
83;90;98;22;63
83;90;98;22;63
90;80;91;90;98
90;80;91;90;98
90;80;91;90;98
90;80;91;90;98
90;80;91;90;98
79;90;100;26;74
79;90;100;26;74
79;90;100;26;74
79;90;100;26;74
79;90;100;26;74
92;73;97;83;82
92;73;97;83;82
92;73;97;83;82
92;73;97;83;82
92;73;97;83;82
76;92;99;19;70
76;92;99;19;70
76;92;99;19;70
76;92;99;19;70
76;92;99;19;70
97;68;89;81;83
97;68;89;81;83
97;68;89;81;83
97;68;89;81;83
97;68;89;81;83
99;96;94;31;55
99;96;94;31;55
99;96;94;31;55
99;96;94;31;55
99;96;94;31;55
100;62;99;71;76
100;62;99;71;76
100;62;99;71;76
100;62;99;71;76
100;62;99;71;76
94;97;97;36;52
94;97;97;36;52
94;97;97;36;52
94;97;97;36;52
94;97;97;36;52
99;63;98;57;70
99;63;98;57;70
99;63;98;57;70
99;63;98;57;70
99;63;98;57;70
100;98;98;30;30
100;98;98;30;30
100;98;98;30;30
100;98;98;30;30
100;98;98;30;30
91;46;99;61;52
91;46;99;61;52
91;46;99;61;52
91;46;99;61;52
91;46;99;61;52
92;100;92;36;34
92;100;92;36;34
92;100;92;36;34
92;100;92;36;34
92;100;92;36;34
99;41;90;56;60
99;41;90;56;60
99;41;90;56;60
99;41;90;56;60
99;41;90;56;60
93;100;89;30;44
93;100;89;30;44
93;100;89;30;44
93;100;89;30;44
93;100;89;30;44
92;38;77;52;48
92;38;77;52;48
92;38;77;52;48
92;38;77;52;48
92;38;77;52;48
93;100;85;28;35
93;100;85;28;35
93;100;85;28;35
93;100;85;28;35
93;100;85;28;35
90;43;90;81;36
90;43;90;81;36
90;43;90;81;36
90;43;90;81;36
90;43;90;81;36
100;95;94;32;45
100;95;94;32;45
100;95;94;32;45
100;95;94;32;45
100;95;94;32;45
92;56;95;73;40
92;56;95;73;40
92;56;95;73;40
92;56;95;73;40
92;56;95;73;40
92;97;96;16;57
92;97;96;16;57
92;97;96;16;57
92;97;96;16;57
92;97;96;16;57
100;64;96;83;43
100;64;96;83;43
100;64;96;83;43
100;64;96;83;43
100;64;96;83;43
88;90;91;21;62
88;90;91;21;62
88;90;91;21;62
88;90;91;21;62
88;90;91;21;62
99;55;93;86;53
99;55;93;86;53
99;55;93;86;53
99;55;93;86;53
99;55;93;86;53
91;100;85;15;75
91;100;85;15;75
91;100;85;15;75
91;100;85;15;75
91;100;85;15;75
100;58;80;84;59
100;58;80;84;59
100;58;80;84;59
100;58;80;84;59
100;58;80;84;59
78;97;81;6;70
78;97;81;6;70
78;97;81;6;70
78;97;81;6;70
78;97;81;6;70
94;66;83;96;54
94;66;83;96;54
94;66;83;96;54
94;66;83;96;54
94;66;83;96;54
86;93;79;4;68
86;93;79;4;68
86;93;79;4;68
86;93;79;4;68
86;93;79;4;68
86;68;89;96;62
86;68;89;96;62
86;68;89;96;62
86;68;89;96;62
86;68;89;96;62
98;93;83;3;68
98;93;83;3;68
98;93;83;3;68
98;93;83;3;68
98;93;83;3;68
91;52;86;96;74
91;52;86;96;74
91;52;86;96;74
91;52;86;96;74
91;52;86;96;74
97;85;93;5;83
97;85;93;5;83
97;85;93;5;83
97;85;93;5;83
97;85;93;5;83
98;43;90;90;65
98;43;90;90;65
98;43;90;90;65
98;43;90;90;65
98;43;90;90;65
99;100;99;5;79
99;100;99;5;79
99;100;99;5;79
99;100;99;5;79
99;100;99;5;79
89;28;96;81;59
89;28;96;81;59
89;28;96;81;59
89;28;96;81;59
89;28;96;81;59
77;97;86;5;76
77;97;86;5;76
77;97;86;5;76
77;97;86;5;76
77;97;86;5;76
90;26;88;57;63
90;26;88;57;63
90;26;88;57;63
90;26;88;57;63
90;26;88;57;63
86;99;90;6;84
86;99;90;6;84
86;99;90;6;84
86;99;90;6;84
86;99;90;6;84
99;15;84;54;71
99;15;84;54;71
99;15;84;54;71
99;15;84;54;71
99;15;84;54;71
98;93;95;-6;82
98;93;95;-6;82
98;93;95;-6;82
98;93;95;-6;82
98;93;95;-6;82
98;11;89;51;50
98;11;89;51;50
98;11;89;51;50
98;11;89;51;50
98;11;89;51;50
92;97;90;-16;83
92;97;90;-16;83
92;97;90;-16;83
92;97;90;-16;83
92;97;90;-16;83
97;7;89;51;64
97;7;89;51;64
97;7;89;51;64
97;7;89;51;64
97;7;89;51;64
91;93;77;-10;75
91;93;77;-10;75
91;93;77;-10;75
91;93;77;-10;75
91;93;77;-10;75
99;9;99;51;76
99;9;99;51;76
99;9;99;51;76
99;9;99;51;76
99;9;99;51;76
98;93;93;-11;80
98;93;93;-11;80
98;93;93;-11;80
98;93;93;-11;80
98;93;93;-11;80
98;8;95;52;80
98;8;95;52;80
98;8;95;52;80
98;8;95;52;80
98;8;95;52;80
96;82;99;3;92
96;82;99;3;92
96;82;99;3;92
96;82;99;3;92
96;82;99;3;92
91;-4;88;52;73
91;-4;88;52;73
91;-4;88;52;73
91;-4;88;52;73
91;-4;88;52;73
96;75;91;10;94
96;75;91;10;94
96;75;91;10;94
96;75;91;10;94
96;75;91;10;94
97;3;100;48;77
97;3;100;48;77
97;3;100;48;77
97;3;100;48;77
97;3;100;48;77
97;88;78;5;96
97;88;78;5;96
97;88;78;5;96
97;88;78;5;96
97;88;78;5;96
97;-7;97;50;62
97;-7;97;50;62
97;-7;97;50;62
97;-7;97;50;62
97;-7;97;50;62
98;82;87;2;98
98;82;87;2;98
98;82;87;2;98
98;82;87;2;98
98;82;87;2;98
98;2;87;60;77
98;2;87;60;77
98;2;87;60;77
98;2;87;60;77
98;2;87;60;77
99;71;86;-6;92
99;71;86;-6;92
99;71;86;-6;92
99;71;86;-6;92
99;71;86;-6;92
95;13;71;58;87
95;13;71;58;87
95;13;71;58;87
