node 1;node 2;node 3;node 4;node 5
15.1;15.2;15;15.8;15.8
16.1;18.5;15.5;16.8;15.2
16.5;20;18;16.4;16.7
16.5;20;18.4;18.5;16.7
16.5;20.8;18.3;20.5;17
18.3;19.8;18.7;20.2;14.3
18.1;20.2;18;20.2;14.4
18.1;18.3;16.7;20;13.3
19.7;18.2;19.1;20.3;15.1
20.8;15.7;20.8;20.8;16.5
20.1;12.1;20.6;20.4;16.3
18.6;15.6;20.7;20.1;19.2
15.3;13.6;20.2;19.3;19.1
15.6;16.7;20.2;20.2;19.8
15.1;17.6;19.7;20.2;19.2
13.2;18.1;20.8;18.2;20.3
15.1;15.7;20.7;18;17.4
14.4;15.7;20.6;18.5;17
12.5;14.1;20.6;17.4;18.4
12.8;16.8;20.3;15.1;13.2
11.4;19.2;20.2;15.2;12.6
12.2;19.7;20.8;17.8;9.3
12.8;18.7;20.2;14.1;11
12.3;18.2;20.6;15.1;10.3
13.4;18.6;20.8;18;10
13.6;20;19.6;19.8;10.1
16.6;18.8;19.2;19.7;10.4
18.6;19;19.2;18.3;9.3
19.7;19;19.3;18.5;10.5
19.5;19.7;18.7;18.6;12.1
20.7;19.6;18.2;20.6;12.7
20;20.1;18.3;20.2;15.4
20.2;19.7;18.7;20.7;15.8
20.8;19.7;18.8;20.7;16.4
19.6;19.8;16.5;20.5;16.8
20.2;17.3;13.6;19.7;15.7
19.5;14.1;11;19.6;17
16.7;12.8;11;19.7;17.7
17.1;13.5;11.5;19.4;18.1
14.7;11.8;13.2;19.3;19.8
11.1;11.5;13.4;19.4;19.8
12.8;11.2;16.4;19.5;20.6
14;13;18;16.3;20.7
13.5;16.1;19.4;19.5;20.1
14.5;17.3;16.7;16.7;20
11.2;20.1;16.6;19.1;20.5
11.2;20.5;17.3;20.8;20.2
11.2;20.3;14;20;20.1
10.4;20.4;15.2;18.8;20.7
12.4;20.4;16;20.6;20
13.2;18.6;17;20.7;17.4
14.3;19.3;16.4;20.4;19
14.1;20.8;15.7;19.7;19.7
12.1;20.3;12.8;19.3;20.3
15.3;20.5;14.8;19.1;20.5
15.3;20;12.2;19.7;20.2
15.5;18.8;13.6;19.4;20
14.6;19.3;12.1;20.3;20.2
12.4;19.4;13;20.1;20
12.1;19.2;16.5;20;20
12.4;19.7;16.1;20;19.7
11;20;13.5;20.4;19.5
9.4;18;13.5;20.7;19.6
8.3;20.7;10.2;17.7;19
8.5;20;12.4;15.4;17.4
5.2;20.4;12.3;15.6;20.4
6.7;20.6;12.3;18.1;20.2
6.3;20.7;12;19.5;18.6
6;18;9.5;20.1;19
6;19.8;10.1;20.8;18.1
4.5;19;10;20.3;20
7.3;15;10.7;20.5;17.7
5.6;15.5;13.8;20.4;17
5.2;12.7;13.3;19.3;14.2
4.2;12;12.7;19.5;13.8
1.5;12.5;10.4;18.7;16.8
1.7;10;10.8;20.8;17.6
3.7;12.1;10.6;18.7;15.8
3.1;11.3;13.6;19.3;17.7
1.6;13.3;16;20.2;20.2
1.5;15.3;16.3;20.1;20.7
2.6;16.7;17.7;19.1;20
2.4;17.5;17.8;19.7;20.4
3.3;18.7;18.4;14.1;15.8
3.7;15;18.1;11.5;12.8
6.4;16.4;18.2;11.2;9.5
6.7;19;18.6;11.3;9.5
8.7;19.3;18;11.3;10.4
7.7;20.5;18.4;12.1;10.8
9.1;20.3;18.3;12.5;10
9.3;18.6;20.1;11.7;12.7
9.4;18.2;17.4;13.1;7.6
9.3;19.7;17.4;13.5;4.6
6.5;16.5;17.5;11;4.1
6.5;13.3;16.3;13.1;4.4
6.7;18.1;14.5;17.7;0
6.7;17.5;17.1;18.1;0.7
6.2;18.4;20.5;16.4;1.8
6.8;18;20.4;19.4;2.6
6.6;15.4;20;18.6;5.1
6.5;16;19.7;16;5
6.5;15.2;19.5;16.2;7.7
6.5;16.8;19;16.7;7.2
6;18.3;19;17.2;7.7
7.8;20.8;20.8;18.8;8
8.3;20.7;20.8;18.8;8.2
8.1;20.5;20.4;15.8;9.8
7.5;15.2;19.1;15.3;6.6
8.8;15.3;20.4;15.7;7.6
5.5;15.8;17.5;16.2;8.2
2.4;12.5;18.2;16;8.4
0;10.8;16.2;17;9.1
0.3;9;16.1;15;8
0.5;9.6;17.5;12.5;9.1
0.6;11.7;17.7;13.4;11.5
1.4;11.8;20.5;16.7;11.7
1.6;14.6;17.2;16.2;11.4
2.6;14.2;14.3;18.2;9.2
2.2;11.8;11.4;17.8;7
2.2;8.1;10.5;14.3;8.2
3.7;9;13.8;11.1;5.4
3.5;11.8;14.8;10.6;6.5
4;10.4;13.4;10;7.4
4.6;11.8;14.8;7.5;6.1
6.2;12.3;14.4;6.5;5.8
6.5;10.2;15.6;7.5;3.2
6.4;12.5;15.5;10.4;6.2
3;12.4;17.5;12.6;7.7
4.7;10.7;17.2;10;7.6
5.6;7.4;19.2;11.4;7.6
5.1;9.2;19;8.6;7.4
8;12.2;19.1;5.1;12.3
9;12.6;18.5;5.4;12.4
12.7;12.6;18.7;5.6;14.1
11.4;13.1;18.1;7.4;14.7
11.7;10.2;18.1;10.5;17
13.5;8.8;18.5;11.5;18.1
12.7;8.2;18;11;18.7
10.5;6.6;18;12.2;19.1
10.4;6.8;20.6;10.7;19.6
10.2;9.1;19.5;11.4;19.4
9.6;10.1;20.4;11;20.1
9;10.4;20.5;11.5;20.8
