value;proposed_method;mcc
110;;;
101;;;
101;;;
104;;;
116;;;
116;;;
109;;;
109;;;
109;;;
109;109;110
109;;;
109;;;
109;;;
106;;;
104;;;
102;;;
102;102;110
102;102;110
102;;;
102;102;110
102;102;110
102;102;110
104;;;
104;;;
104;;;
104;;;
104;;;
104;;;
104;;;
104;;;
110;;;
101;;;
111;;;
109;;;
109;109;110
106;;;
106;;;
106;;;
106;;;
105;106;110
105;;;
105;;;
105;;;
109;;;
109;;;
109;;;
109;;;
106;109;110
100;;;
100;;;
100;;;
109;;;
109;;;
109;;;
109;;;
104;109;110
104;104;110
101;;;
101;;;
96;101;110
104;96;110
104;96;110
