value;proposed_method;mcc
819;;;
819;;;
840;819;819
840;;;
840;;;
809;840;819
850;;;
850;;;
809;;;
809;;;
819;;;
819;;;
973;;;
932;;;
932;932;819
901;;;
901;;;
901;901;819
829;;;
829;;;
829;;;
829;;;
829;;;
819;;;
850;;;
850;;;
850;;;
850;;;
778;;;
788;;;
799;788;819
799;;;
799;;;
799;;;
799;;;
850;;;
850;;;
819;;;
758;;;
758;;;
788;;;
819;758;819
850;;;
850;;;
850;;;
850;;;
850;;;
850;;;
819;;;
829;;;
799;;;
809;799;819
809;;;
819;;;
881;;;
881;;;
829;881;819
829;;;
829;;;
799;829;819
799;;;
799;;;
799;;;
799;;;
799;;;
788;;;
788;;;
788;;;
809;;;
809;;;
901;809;819
901;;;
901;;;
901;;;
870;;;
922;;;
922;;;
922;;;
891;;;
891;891;819
881;;;
860;;;
860;;;
932;;;
932;;;
932;932;819
922;932;819
911;;;
911;;;
911;;;
881;;;
809;;;
809;;;
809;;;
881;;;
911;;;
860;;;
819;;;
881;;;
901;881;819
901;;;
870;;;
850;;;
850;;;
901;850;819
850;;;
850;;;
850;;;
911;;;
870;;;
870;;;
870;;;
870;;;
870;;;
870;;;
840;;;
850;840;819
911;;;
686;;;
696;;;
727;;;
737;696;819
748;;;
748;;;
748;;;
778;;;
788;778;819
788;;;
799;;;
850;799;819
850;;;
829;;;
829;829;819
737;;;
819;;;
819;;;
819;;;
748;;;
748;;;
778;;;
778;;;
778;;;
788;778;819
809;;;
840;809;819
840;;;
840;;;
829;;;
768;;;
768;;;
768;;;
768;;;
768;;;
778;;;
788;778;819
788;;;
809;;;
809;;;
809;;;
819;;;
881;;;
881;;;
840;881;819
819;;;
819;;;
881;;;
768;;;
799;;;
809;;;
829;;;
819;;;
922;;;
809;;;
840;;;
840;;;
840;840;819
840;;;
819;;;
819;;;
819;;;
819;;;
819;;;
758;;;
758;;;
758;758;819
758;;;
758;;;
758;;;
768;;;
768;;;
768;;;
809;768;819
788;;;
788;;;
788;;;
788;;;
829;788;819
829;;;
829;829;819
799;;;
819;799;819
819;819;819
799;;;
799;;;
799;;;
809;;;
799;809;819
799;;;
809;;;
809;;;
850;;;
850;850;819
809;;;
809;;;
819;;;
819;819;819
850;;;
819;;;
870;;;
870;;;
870;;;
788;;;
788;;;
788;;;
788;;;
788;;;
788;;;
788;788;819
911;;;
911;;;
911;;;
911;;;
911;;;
891;911;819
768;;;
778;;;
778;;;
778;;;
788;;;
788;;;
788;;;
788;;;
788;;;
788;;;
788;;;
788;;;
788;788;819
799;;;
829;799;819
809;;;
809;;;
809;809;819
809;;;
829;;;
870;;;
870;;;
870;;;
850;;;
829;850;819
829;;;
768;;;
932;;;
922;;;
922;;;
922;;;
850;;;
850;;;
840;;;
840;;;
829;;;
819;829;819
819;;;
819;;;
819;;;
840;;;
840;;;
819;;;
911;;;
911;;;
911;;;
911;;;
911;911;819
870;;;
870;;;
870;;;
860;;;
860;;;
829;;;
819;;;
819;;;
819;819;819
819;;;
819;;;
819;;;
860;;;
819;;;
635;;;
635;;;
666;635;819
686;;;
666;;;
666;;;
625;;;
625;;;
625;;;
655;;;
655;;;
655;655;819
635;;;
635;;;
635;;;
635;;;
635;;;
635;;;
645;;;
645;;;
645;645;819
645;;;
645;;;
645;;;
645;;;
645;;;
645;645;819
707;;;
707;;;
707;;;
707;;;
707;;;
707;;;
707;;;
758;;;
727;;;
727;;;
727;727;819
727;;;
717;;;
707;717;819
543;;;
502;;;
512;;;
512;;;
553;;;
563;;;
614;;;
625;;;
655;625;819
676;;;
676;;;
676;;;
696;;;
737;;;
737;;;
737;737;819
737;;;
737;;;
768;;;
768;;;
778;;;
778;;;
778;;;
778;;;
778;;;
993;;;
993;993;819
952;;;
952;;;
819;;;
799;952;819
809;;;
819;;;
819;819;819
819;819;819
819;;;
819;;;
819;;;
819;;;
645;;;
655;;;
676;;;
686;;;
686;;;
686;686;819
686;;;
686;;;
686;;;
686;;;
737;;;
788;;;
788;;;
799;;;
829;;;
829;;;
829;;;
829;829;819
829;;;
737;;;
737;;;
758;;;
788;;;
788;;;
788;;;
676;788;819
676;;;
676;676;819
696;;;
748;;;
748;;;
748;;;
748;;;
758;;;
758;;;
758;;;
758;;;
758;;;
696;758;819
696;;;
696;;;
696;;;
696;;;
717;;;
696;;;
696;;;
696;696;819
727;;;
799;;;
829;;;
788;;;
829;;;
799;;;
