value;proposed_method;mcc
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
100;;;
100;100;100
100;;;
30;;;
10;;;
0;;;
30;;;
10;;;
10;;;
100;30;100
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
100;;;
100;;;
100;100;100
100;100;100
100;;;
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
100;100;100
100;;;
100;;;
100;;;
100;100;100
100;100;100
100;;;
100;100;100
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;100;100
100;;;
100;100;100
100;;;
100;;;
0;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
100;100;100
30;;;
10;;;
0;;;
10;;;
30;;;
30;;;
100;;;
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
30;;;
10;;;
0;;;
0;10;100
30;;;
10;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
100;100;100
100;;;
100;;;
100;100;100
100;100;100
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
100;;;
100;;;
0;;;
0;;;
10;;;
10;10;100
30;;;
10;;;
100;100;100
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
30;100;100
30;;;
0;30;100
0;;;
0;;;
10;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
30;;;
10;;;
30;10;100
30;;;
10;;;
10;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;100;100
100;100;100
100;;;
100;100;100
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;100;100
100;100;100
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;100;100
100;;;
100;100;100
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
100;;;
100;;;
100;;;
100;100;100
100;100;100
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
100;100;100
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
100;100;100
100;;;
100;;;
100;;;
100;;;
100;100;100
100;100;100
