value;proposed_method;mcc
100;;;
100;;;
100;;;
100;;;
100;;;
16;;;
92;;;
6;;;
69;;;
24;57;100
93;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;100;100
52;100;100
100;;;
100;100;100
100;100;100
100;100;100
100;;;
100;;;
84;;;
77;;;
69;;;
56;;;
24;;;
19;;;
100;;;
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
82;;;
100;;;
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
32;100;100
58;59;100
22;;;
58;;;
76;59;100
92;59;100
76;59;100
