value;proposed_method;mcc
100;;;
100;;;
100;100;100
100;;;
100;;;
100;100;100
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
100;100;100
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
21;100;100
60;;;
69;;;
5;;;
81;;;
76;;;
83;;;
54;;;
98;;;
54;;;
45;;;
24;78;100
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
100;100;100
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
89;;;
11;;;
24;;;
16;91;100
39;;;
39;;;
67;;;
81;;;
50;;;
99;;;
47;;;
37;;;
80;38;100
100;;;
100;;;
100;;;
100;;;
100;;;
100;100;100
39;100;100
19;;;
35;;;
53;;;
45;;;
50;;;
100;;;
80;;;
30;;;
49;;;
69;;;
34;;;
64;;;
84;92;100
5;;;
51;;;
32;;;
73;;;
20;23;100
5;;;
0;;;
75;;;
38;;;
2;;;
23;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;100;100
29;;;
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
100;100;100
100;;;
100;;;
100;100;100
100;;;
100;;;
100;;;
6;;;
95;;;
39;;;
32;;;
96;;;
49;;;
53;70;100
56;;;
56;32;100
82;;;
60;;;
73;;;
90;;;
7;;;
24;;;
5;;;
35;;;
41;;;
24;98;100
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
100;;;
100;;;
14;;;
60;;;
10;;;
3;;;
95;;;
33;;;
83;;;
33;;;
60;18;100
99;;;
25;;;
51;;;
20;;;
75;;;
24;;;
58;;;
71;;;
64;74;100
47;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
100;;;
100;;;
100;100;100
100;;;
100;100;100
100;;;
100;100;100
100;100;100
100;;;
100;;;
100;;;
86;;;
60;65;100
18;;;
75;;;
62;;;
2;;;
100;65;100
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
67;;;
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
74;;;
72;;;
13;;;
89;91;100
70;;;
31;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
98;;;
96;;;
7;;;
16;;;
14;7;100
97;;;
100;7;100
47;;;
24;;;
28;26;100
52;;;
60;;;
44;;;
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
5;;;
5;;;
6;;;
88;;;
28;;;
7;;;
55;;;
14;;;
46;;;
85;37;100
69;;;
72;;;
17;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
100;;;
100;;;
34;;;
26;;;
76;;;
71;;;
90;45;100
66;;;
15;;;
11;;;
95;;;
60;;;
73;;;
39;;;
54;86;100
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
32;;;
60;;;
38;;;
27;87;100
37;;;
46;;;
23;87;100
65;;;
96;;;
70;;;
34;;;
88;;;
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
68;;;
47;;;
91;;;
71;;;
21;35;100
82;;;
6;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
71;;;
23;;;
54;51;100
35;;;
37;;;
34;;;
84;51;100
37;;;
86;;;
86;8;100
0;8;100
77;;;
100;;;
19;;;
37;;;
96;;;
94;;;
95;;;
30;;;
100;;;
100;100;100
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
100;;;
100;;;
83;;;
12;;;
89;;;
98;38;100
43;;;
38;38;100
100;;;
49;;;
7;;;
49;;;
97;;;
51;;;
58;;;
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
22;;;
40;;;
63;;;
6;;;
36;11;100
66;;;
21;;;
1;;;
44;;;
72;;;
45;;;
24;;;
51;;;
9;;;
83;;;
54;30;100
72;;;
84;;;
17;;;
0;;;
48;4;100
40;;;
36;;;
50;;;
35;4;100
17;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
100;;;
100;;;
100;;;
100;100;100
84;;;
72;;;
76;;;
4;;;
25;;;
48;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
100;;;
100;;;
100;;;
100;100;100
78;;;
9;;;
85;;;
17;;;
59;;;
53;;;
82;;;
72;;;
91;;;
88;;;
75;2;100
14;;;
49;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
100;100;100
100;;;
100;;;
57;100;100
100;;;
100;;;
100;;;
100;;;
100;;;
100;;;
45;;;
39;100;100
11;;;
78;;;
63;;;
45;;;
85;;;
30;87;100
93;;;
84;;;
31;78;100
19;;;
60;;;
26;;;
72;;;
93;52;100
