value;proposed_method;mcc
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;20.0;20.0
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
17.0;;;
17.0;;;
18.0;17.0;20.0
19.0;;;
19.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;20.0;20.0
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;20.0;20.0
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;20.0;20.0
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;20.0;20.0
20.0;;;
19.0;;;
20.0;;;
20.0;;;
20.0;;;
17.0;;;
17.0;;;
17.0;;;
17.0;;;
18.0;17.0;20.0
18.0;;;
18.0;;;
18.0;;;
18.0;;;
20.0;18.0;20.0
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;20.0;20.0
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;20.0;20.0
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;20.0;20.0
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;20.0;20.0
20.0;;;
18.0;;;
18.0;;;
18.0;18.0;20.0
18.0;;;
19.0;;;
19.0;;;
19.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;20.0;20.0
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
18.0;20.0;20.0
18.0;;;
19.0;;;
19.0;;;
19.0;19.0;20.0
19.0;;;
19.0;;;
19.0;;;
20.0;;;
18.0;;;
18.0;;;
19.0;;;
19.0;;;
19.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;20.0;20.0
20.0;;;
20.0;;;
17.0;;;
18.0;;;
18.0;;;
18.0;18.0;20.0
19.0;;;
19.0;;;
19.0;;;
19.0;19.0;20.0
19.0;;;
18.0;;;
19.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;20.0;20.0
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;20.0;20.0
17.0;;;
17.0;;;
17.0;;;
15.0;;;
16.0;17.0;20.0
16.0;16.0;20.0
17.0;;;
17.0;;;
17.0;;;
19.0;;;
19.0;17.0;20.0
19.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;20.0;20.0
20.0;;;
20.0;;;
20.0;20.0;20.0
20.0;;;
20.0;;;
20.0;;;
20.0;20.0;20.0
20.0;20.0;20.0
20.0;;;
20.0;20.0;20.0
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;20.0;20.0
20.0;;;
20.0;20.0;20.0
20.0;;;
20.0;;;
18.0;;;
19.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;20.0;20.0
20.0;;;
20.0;;;
20.0;20.0;20.0
18.0;;;
18.0;;;
18.0;;;
18.0;;;
18.0;;;
18.0;;;
18.0;;;
18.0;;;
19.0;;;
20.0;;;
20.0;20.0;20.0
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
18.0;;;
18.0;;;
19.0;;;
19.0;19.0;20.0
19.0;;;
19.0;;;
19.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;20.0;20.0
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
