value;proposed_method;mcc
19.0;;;
18.0;;;
18.0;;;
19.0;;;
19.0;;;
19.0;;;
20.0;;;
20.0;;;
20.0;;;
17.0;10.0;19.0
17.0;;;
15.0;;;
12.0;10.0;19.0
14.0;;;
15.0;;;
16.0;;;
13.0;;;
15.0;10.0;19.0
15.0;;;
15.0;;;
13.0;;;
14.0;;;
13.0;;;
14.0;;;
14.0;;;
12.0;;;
9.0;12.0;19.0
11.0;;;
14.0;;;
13.0;;;
15.0;;;
15.0;;;
18.0;;;
19.0;;;
19.0;;;
19.0;9.0;19.0
19.0;;;
16.0;;;
16.0;;;
16.0;;;
18.0;;;
18.0;;;
16.0;;;
19.0;;;
19.0;;;
19.0;;;
19.0;7.0;19.0
19.0;;;
20.0;;;
17.0;;;
17.0;;;
17.0;7.0;19.0
17.0;;;
16.0;;;
16.0;;;
16.0;;;
16.0;;;
18.0;6.0;19.0
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
18.0;;;
17.0;;;
19.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;6.0;19.0
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
17.0;4.0;19.0
16.0;;;
16.0;;;
15.0;;;
18.0;;;
18.0;4.0;19.0
18.0;;;
17.0;;;
17.0;;;
19.0;;;
19.0;;;
16.0;;;
16.0;;;
17.0;;;
17.0;;;
17.0;3.0;19.0
19.0;;;
19.0;;;
19.0;;;
16.0;;;
16.0;;;
16.0;;;
17.0;;;
17.0;;;
14.0;;;
16.0;;;
19.0;;;
19.0;;;
16.0;4.0;19.0
19.0;;;
19.0;;;
16.0;;;
18.0;;;
18.0;;;
18.0;;;
18.0;;;
17.0;4.0;19.0
14.0;;;
14.0;;;
16.0;;;
17.0;;;
17.0;;;
18.0;;;
20.0;5.0;19.0
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
18.0;6.0;19.0
18.0;;;
17.0;;;
17.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
18.0;;;
18.0;8.0;19.0
17.0;;;
18.0;;;
17.0;;;
18.0;;;
15.0;;;
16.0;;;
14.0;;;
11.0;;;
11.0;9.0;19.0
12.0;;;
13.0;;;
13.0;;;
13.0;;;
14.0;;;
12.0;;;
9.0;;;
9.0;;;
7.0;;;
7.0;;;
10.0;;;
10.0;;;
11.0;7.0;19.0
11.0;;;
9.0;7.0;19.0
9.0;;;
10.0;;;
13.0;;;
15.0;;;
15.0;;;
16.0;;;
13.0;;;
11.0;;;
11.0;;;
11.0;6.0;19.0
13.0;;;
13.0;;;
13.0;;;
14.0;;;
14.0;5.0;19.0
14.0;;;
17.0;;;
18.0;;;
18.0;4.0;19.0
18.0;5.0;19.0
18.0;;;
18.0;;;
19.0;;;
19.0;;;
18.0;;;
17.0;;;
17.0;;;
17.0;;;
17.0;;;
18.0;;;
16.0;5.0;19.0
16.0;;;
14.0;;;
14.0;;;
14.0;;;
16.0;;;
17.0;;;
16.0;;;
19.0;;;
16.0;6.0;19.0
15.0;;;
17.0;;;
17.0;7.0;19.0
19.0;;;
19.0;7.0;19.0
19.0;;;
19.0;;;
18.0;;;
18.0;;;
18.0;;;
18.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;;;
20.0;6.0;19.0
17.0;6.0;19.0
14.0;;;
14.0;;;
14.0;;;
14.0;;;
12.0;;;
11.0;;;
12.0;6.0;19.0
14.0;;;
11.0;;;
12.0;;;
9.0;;;
7.0;;;
7.0;;;
7.0;6.0;19.0
6.0;;;
7.0;;;
9.0;;;
9.0;;;
6.0;;;
6.0;;;
7.0;;;
4.0;;;
7.0;;;
5.0;6.0;19.0
7.0;;;
9.0;;;
9.0;;;
11.0;;;
14.0;;;
12.0;;;
12.0;;;
9.0;6.0;19.0
10.0;;;
7.0;;;
4.0;6.0;19.0
2.0;;;
2.0;;;
3.0;;;
4.0;;;
3.0;;;
3.0;;;
1.0;;;
1.0;;;
3.0;;;
4.0;;;
4.0;6.0;19.0
6.0;;;
7.0;;;
6.0;;;
7.0;;;
9.0;;;
